Normalized text	Document Number	Alternate Numbering	UUID	Person ID	QUOTE_TRANSCRIPTION	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags 2	Named by	Scribe	Principal	Witness	Dead	Gender
	HCM 123						PLACE		52.05684	-2.71482	Given at							
	HCM 1264						PLACE		52.05684	-2.71482	Given at							
	HCM 1265						PLACE		52.05684	-2.71482	Given at							
	HCM 1281						PLACE		52.05684	-2.71482	Given at							
	HCM 1287						PLACE		52.05684	-2.71482	Given at							
	HCM 1300						PLACE		52.05684	-2.71482	Given at							
	HCM 1370						PLACE		52.05684	-2.71482	Given at							
	HCM 1374						PLACE		52.05684	-2.71482	Given at							
	HCM 1376						PLACE		52.05684	-2.71482	Given at							
	HCM 1377	RBLR 4303, HCM 1377					PLACE		52.05684	-2.71482	Given at							
	HCM 139						PLACE		52.05684	-2.71482	Given at							
	HCM 140						PLACE		52.05684	-2.71482	Given at							
	HCM 1419						PLACE		52.05684	-2.71482	Given at							
	HCM 142						PLACE		52.05684	-2.71482	Given at							
	HCM 1421						PLACE		52.05684	-2.71482	Given at							
	HCM 1425						PLACE		52.05684	-2.71482	Given at							
	HCM 1426						PLACE		52.05684	-2.71482	Given at							
	HCM 1427						PLACE		52.05684	-2.71482	Given at							
	HCM 1433						PLACE		52.05684	-2.71482	Given at							
	HCM 1436						PLACE		52.05684	-2.71482	Given at							
	HCM 1438						PLACE		52.05684	-2.71482	Given at							
	HCM 1448a	RBLR 6101, HCM 1448a					PLACE		52.05684	-2.71482	Given at							
	HCM 1471						PLACE		52.05684	-2.71482	Given at							
	HCM 1472						PLACE		52.05684	-2.71482	Given at							
	HCM 1473						PLACE		52.05684	-2.71482	Given at							
	HCM 1474						PLACE		52.05684	-2.71482	Given at							
	HCM 1485						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 1487						PLACE		52.05684	-2.71482	Given at							
	HCM 1489						PLACE		52.05684	-2.71482	Given at							
	HCM 150						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 153						PLACE		52.05684	-2.71482	Given at							
	HCM 154						PLACE		52.05684	-2.71482	Given at							
	HCM 170						PLACE		52.05684	-2.71482	Given at							
	HCM 171						PLACE		52.05684	-2.71482	Given at							
	HCM 1730						PLACE		52.05684	-2.71482	Given at							
	HCM 174						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 1752						PLACE		52.05684	-2.71482	Given at							
	HCM 1767-em1						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 1819						PLACE		52.05684	-2.71482	Given at							
	HCM 182						PLACE		52.05684	-2.71482	Given at							
	HCM 1834						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 1848						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 1870						PLACE		52.05684	-2.71482	Given at							
	HCM 1873						PLACE		52.05684	-2.71482	Given at							
	HCM 192						PLACE		52.05684	-2.71482	Given at							
	HCM 1932						PLACE		52.05684	-2.71482	Given at							
	HCM 1938						PLACE		52.05684	-2.71482	Given at							
	HCM 195						PLACE		52.05684	-2.71482	Given at							
	HCM 196						PLACE		52.05684	-2.71482	Given at							
	HCM 1974						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 200						PLACE		52.05684	-2.71482	Given at							
	HCM 201						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 203	RBLR 1106, HCM 203					PLACE		52.05684	-2.71482	Given at							
	HCM 2059						PLACE		52.05684	-2.71482	Given at							
	HCM 207						PLACE		52.05684	-2.71482	Given at							
	HCM 2074						PLACE		52.05684	-2.71482	Given at							
	HCM 2089-em2						PLACE		52.05684	-2.71482	Given at							
	HCM 209						PLACE		52.05684	-2.71482	Given at							
	HCM 2093						PLACE		52.05684	-2.71482	Given at							
	HCM 2095						PLACE		52.05684	-2.71482	Given at							
	HCM 2096-em						PLACE		52.05684	-2.71482	Given at							
	HCM 2097						PLACE		52.05684	-2.71482	Given at							
	HCM 2100-em						PLACE		52.05684	-2.71482	Given at							
	HCM 2111						PLACE		52.05684	-2.71482	Given at							
	HCM 2128						PLACE		52.05684	-2.71482	Given at							
	HCM 2146						PLACE		52.05684	-2.71482	Given at							
	HCM 2147						PLACE		52.05684	-2.71482	Given at							
	HCM 2166						PLACE		52.05684	-2.71482	Given at							
	HCM 218	RBLR 1107, HCM 218					PLACE		52.05684	-2.71482	Given at							
	HCM 219						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 222						PLACE		52.05684	-2.71482	Given at							
	HCM 224						PLACE		52.05684	-2.71482	Given at							
	HCM 2271						PLACE		52.05684	-2.71482	Given at							
	HCM 2317						PLACE		52.05684	-2.71482	Given at							
	HCM 2372						PLACE		52.05684	-2.71482	Given at							
	HCM 2386						PLACE		52.05684	-2.71482	Given at							
	HCM 241						PLACE		52.05684	-2.71482	Given at							
	HCM 242						PLACE		52.05684	-2.71482	Given at							
	HCM 2468						PLACE		52.05684	-2.71482	Given at							
	HCM 2470						PLACE		52.05684	-2.71482	Given at							
	HCM 25	RBLR 1910, HCM 25					PLACE		52.05684	-2.71482	Given at							
	HCM 2506						PLACE		52.05684	-2.71482	Given at							
	HCM 2508						PLACE		52.05684	-2.71482	Given at							
	HCM 2509						PLACE		52.05684	-2.71482	Given at							
	HCM 2510						PLACE		52.05684	-2.71482	Given at							
	HCM 2538						PLACE		52.05684	-2.71482	Given at							
	HCM 2541						PLACE		52.05684	-2.71482	Given at							
	HCM 2542						PLACE		52.05684	-2.71482	Given at							
	HCM 2543						PLACE		52.05684	-2.71482	Given at							
	HCM 2544						PLACE		52.05684	-2.71482	Given at							
	HCM 2546						PLACE		52.05684	-2.71482	Given at							
	HCM 2547						PLACE		52.05684	-2.71482	Given at							
	HCM 2554						PLACE		52.05684	-2.71482	Given at							
	HCM 2558						PLACE		52.05684	-2.71482	Given at							
	HCM 2559						PLACE		52.05684	-2.71482	Given at							
	HCM 2560						PLACE		52.05684	-2.71482	Given at							
	HCM 2562						PLACE		52.05684	-2.71482	Given at							
	HCM 2567						PLACE		52.05684	-2.71482	Given at							
	HCM 2568						PLACE		52.05684	-2.71482	Given at							
	HCM 2572						PLACE		52.05684	-2.71482	Given at							
	HCM 2573						PLACE		52.05684	-2.71482	Given at							
	HCM 2574						PLACE		52.05684	-2.71482	Given at							
	HCM 2575						PLACE		52.05684	-2.71482	Given at							
	HCM 2577						PLACE		52.05684	-2.71482	Given at							
	HCM 2580						PLACE		52.05684	-2.71482	Given at							
	HCM 2585						PLACE		52.05684	-2.71482	Given at							
	HCM 2586						PLACE		52.05684	-2.71482	Given at							
	HCM 2587						PLACE		52.05684	-2.71482	Given at							
	HCM 2592						PLACE		52.05684	-2.71482	Given at							
	HCM 2594						PLACE		52.05684	-2.71482	Given at							
	HCM 2596						PLACE		52.05684	-2.71482	Given at							
	HCM 2601						PLACE		52.05684	-2.71482	Given at							
	HCM 2604						PLACE		52.05684	-2.71482	Given at							
	HCM 2607						PLACE		52.05684	-2.71482	Given at							
	HCM 2608						PLACE		52.05684	-2.71482	Given at							
	HCM 2609						PLACE		52.05684	-2.71482	Given at							
	HCM 2610						PLACE		52.05684	-2.71482	Given at							
	HCM 2611						PLACE		52.05684	-2.71482	Given at							
	HCM 2618						PLACE		52.05684	-2.71482	Given at							
	HCM 2622						PLACE		52.05684	-2.71482	Given at							
	HCM 2623						PLACE		52.05684	-2.71482	Given at							
	HCM 2624						PLACE		52.05684	-2.71482	Given at							
	HCM 2645						PLACE		52.05684	-2.71482	Given at							
	HCM 2646						PLACE		52.05684	-2.71482	Given at							
	HCM 2650						PLACE		52.05684	-2.71482	Given at							
	HCM 2651						PLACE		52.05684	-2.71482	Given at							
	HCM 2652						PLACE		52.05684	-2.71482	Given at							
	HCM 2653						PLACE		52.05684	-2.71482	Given at							
	HCM 2654						PLACE		52.05684	-2.71482	Given at							
	HCM 2655						PLACE		52.05684	-2.71482	Given at							
	HCM 2657						PLACE		52.05684	-2.71482	Given at							
	HCM 2659						PLACE		52.05684	-2.71482	Given at							
	HCM 2660						PLACE		52.05684	-2.71482	Given at							
	HCM 2662						PLACE		52.05684	-2.71482	Given at							
	HCM 2664						PLACE		52.05684	-2.71482	Given at							
	HCM 2666						PLACE		52.05684	-2.71482	Given at							
	HCM 2668						PLACE		52.05684	-2.71482	Given at							
	HCM 2669						PLACE		52.05684	-2.71482	Given at							
	HCM 2670						PLACE		52.05684	-2.71482	Given at							
	HCM 2671						PLACE		52.05684	-2.71482	Given at							
	HCM 2672						PLACE		52.05684	-2.71482	Given at							
	HCM 2675						PLACE		52.05684	-2.71482	Given at							
	HCM 2678						PLACE		52.05684	-2.71482	Given at							
	HCM 2680						PLACE		52.05684	-2.71482	Given at							
	HCM 2681						PLACE		52.05684	-2.71482	Given at							
	HCM 2682						PLACE		52.05684	-2.71482	Given at							
	HCM 2683						PLACE		52.05684	-2.71482	Given at							
	HCM 2684						PLACE		52.05684	-2.71482	Given at							
	HCM 2685						PLACE		52.05684	-2.71482	Given at							
	HCM 2687						PLACE		52.05684	-2.71482	Given at							
	HCM 2688						PLACE		52.05684	-2.71482	Given at							
	HCM 2690-em						PLACE		52.05684	-2.71482	Given at							
	HCM 2691						PLACE		52.05684	-2.71482	Given at							
	HCM 2699						PLACE		52.05684	-2.71482	Given at							
	HCM 2700						PLACE		52.05684	-2.71482	Given at							
	HCM 2701						PLACE		52.05684	-2.71482	Given at							
	HCM 2702						PLACE		52.05684	-2.71482	Given at							
	HCM 2703						PLACE		52.05684	-2.71482	Given at							
	HCM 2704						PLACE		52.05684	-2.71482	Given at							
	HCM 2706						PLACE		52.05684	-2.71482	Given at							
	HCM 2707						PLACE		52.05684	-2.71482	Given at							
	HCM 2709						PLACE		52.05684	-2.71482	Given at							
	HCM 2711						PLACE		52.05684	-2.71482	Given at							
	HCM 2712						PLACE		52.05684	-2.71482	Given at							
	HCM 2713						PLACE		52.05684	-2.71482	Given at							
	HCM 2715						PLACE		52.05684	-2.71482	Given at							
	HCM 2718						PLACE		52.05684	-2.71482	Given at							
	HCM 2719						PLACE		52.05684	-2.71482	Given at							
	HCM 2720						PLACE		52.05684	-2.71482	Given at							
	HCM 2725						PLACE		52.05684	-2.71482	Given at							
	HCM 2729						PLACE		52.05684	-2.71482	Given at							
	HCM 2730						PLACE		52.05684	-2.71482	Given at							
	HCM 2731						PLACE		52.05684	-2.71482	Given at							
	HCM 2732						PLACE		52.05684	-2.71482	Given at							
	HCM 2734						PLACE		52.05684	-2.71482	Given at							
	HCM 2741						PLACE		52.05684	-2.71482	Given at							
	HCM 2743						PLACE		52.05684	-2.71482	Given at							
	HCM 2744						PLACE		52.05684	-2.71482	Given at							
	HCM 2746						PLACE		52.05684	-2.71482	Given at							
	HCM 2747						PLACE		52.05684	-2.71482	Given at							
	HCM 2748						PLACE		52.05684	-2.71482	Given at							
	HCM 2749						PLACE		52.05684	-2.71482	Given at							
	HCM 2750						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 2751						PLACE		52.05684	-2.71482	Given at							
	HCM 2753						PLACE		52.05684	-2.71482	Given at							
	HCM 2779						PLACE		52.05684	-2.71482	Given at							
	HCM 2797-em2						PLACE		52.05684	-2.71482	Given at							
	HCM 2798						PLACE		52.05684	-2.71482	Given at							
	HCM 28	RBLR 0802, HCM 28					PLACE		52.05684	-2.71482	Given at							
	HCM 2851						PLACE		52.05684	-2.71482	Given at							
	HCM 2869						PLACE		52.05684	-2.71482	Given at							
	HCM 2870						PLACE		52.05684	-2.71482	Given at							
	HCM 2872	RBLR 1101, HCM 2872					PLACE		52.05684	-2.71482	Given at							
	HCM 2873	RBLR 1103, HCM 2873					PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 2874						PLACE		52.05684	-2.71482	Given at							
	HCM 2879						PLACE		52.05684	-2.71482	Given at							
	HCM 2883						PLACE				Given at							
	HCM 2885						PLACE		52.05684	-2.71482	Given at							
	HCM 2887						PLACE											
	HCM 2887						PLACE		52.05684	-2.71482	Given at							
	HCM 29	RBLR 2004, HCM 29					PLACE		52.05684	-2.71482	Given at							
	HCM 290						PLACE		52.05684	-2.71482	Given at							
	HCM 2927						PLACE		52.05684	-2.71482	Given at							
	HCM 2932.F						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 2972						PLACE		52.05684	-2.71482	Given at							
	HCM 2988						PLACE		52.05684	-2.71482	Given at							
	HCM 2990						PLACE		52.05684	-2.71482	Given at							
	HCM 2993						PLACE		52.05684	-2.71482	Given at							
	HCM 3011						PLACE		52.05684	-2.71482	Given at							
	HCM 3178						PLACE		52.05684	-2.71482	Given at							
	HCM 34	RBLR 1901, HCM 34					PLACE		52.05684	-2.71482	Given at							
	HCM 39	RBLR 1804, HCM 39					PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 395						PLACE		52.05684	-2.71482	Given at							
	HCM 397						PLACE		52.05684	-2.71482	Given at							
	HCM 405						PLACE		52.05684	-2.71482	Given at							
	HCM 406						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 408						PLACE		52.05684	-2.71482	Given at							
	HCM 409						PLACE		52.05684	-2.71482	Given at							
	HCM 412						PLACE		52.05684	-2.71482	Given at							
	HCM 43						PLACE		52.05684	-2.71482	Given at							
	HCM 44						PLACE		52.05684	-2.71482	Given at							
	HCM 45						PLACE		52.05684	-2.71482	Given at							
	HCM 469						PLACE		52.05684	-2.71482	Given at							
	HCM 470						PLACE		52.05684	-2.71482	Given at							
	HCM 48						PLACE		52.05684	-2.71482	Given at							
	HCM 496						PLACE		52.05684	-2.71482	Given at							
	HCM 50						PLACE		52.05684	-2.71482	Given at							
	HCM 500						PLACE		52.05684	-2.71482	Given at							
	HCM 507						PLACE		52.05684	-2.71482	Given at							
	HCM 598						PLACE		52.05684	-2.71482	Given at							
	HCM 60						PLACE		52.05684	-2.71482	Given at							
	HCM 608						PLACE		52.05684	-2.71482	Given at							
	HCM 609						PLACE		52.05684	-2.71482	Given at							
	HCM 622						PLACE		52.05684	-2.71482	Given at							
	HCM 63						PLACE		52.05684	-2.71482	Given at							
	HCM 637						PLACE		52.05684	-2.71482	Given at							
	HCM 64						PLACE		52.05684	-2.71482	Given at							
	HCM 66						PLACE		52.05684	-2.71482	Given at							
	HCM 665						PLACE		52.05684	-2.71482	Given at							
	HCM 674						PLACE		52.05684	-2.71482	Given at							
	HCM 681						PLACE		52.05684	-2.71482	Given at							
	HCM 695						PLACE		52.05684	-2.71482	Given at							
	HCM 700						PLACE		52.05684	-2.71482	Given at							
	HCM 703						PLACE		52.05684	-2.71482	Given at							
	HCM 710						PLACE		52.05684	-2.71482	Given at							
	HCM 716						PLACE		52.05684	-2.71482	Given at							
	HCM 718						PLACE		52.05684	-2.71482	Given at							
	HCM 728						PLACE		52.05684	-2.71482	Given at							
	HCM 746						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 755						PLACE		52.05684	-2.71482	Given at							
	HCM 758						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 761						PLACE		52.05684	-2.71482	Given at							
	HCM 768						PLACE		52.05684	-2.71482	Given at							
	HCM 770						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 773						PLACE		52.05684	-2.71482	Given at							
	HCM 82						PLACE		52.05684	-2.71482	Given at							
	HCM 889						PLACE		52.05684	-2.71482	Given at							
	HCM 90						PLACE		52.05684	-2.71482	Given at							
	HCM 945						PLACE		52.05684	-2.71482	Given at							
	HCM 946						PLACE		52.05684	-2.71482	Given at							
	HCM 946						PLACE		52.05684	-2.71482	Given at							
	HCM 946						PLACE		52.05684	-2.71482	Given at							
	HCM 98						PLACE		52.05684	-2.71482	Given at							
	HCM 99						PLACE		52.05684	-2.71482	Given at							
	RBLR 0201						PLACE		52.05684	-2.71482	Given at							
	RBLR 0501	RBLR 0501, HCM 23					PLACE		52.05684	-2.71482	Given at (suggested)							
	RBLR 0801	RBLR 0801, HCM 1732					PLACE		52.05684	-2.71482	Given at (suggested)							
	RBLR 0802	RBLR 0802, HCM 28					PLACE		52.05684	-2.71482	Given at							
	RBLR 0901						PLACE		52.05684	-2.71482	Given at							
	RBLR 0901						PLACE		52.05684	-2.71482	Given at							
	RBLR 0902						PLACE		52.05684	-2.71482	Given at							
	RBLR 0902						PLACE				Endorsement							
	RBLR 0903						PLACE		52.05684	-2.71482	Given at							
	RBLR 0903						PLACE				Endorsement							
	RBLR 0904						PLACE		52.05684	-2.71482	Given at							
	RBLR 0904						PLACE				Endorsement							
	RBLR 0905						PLACE		52.05684	-2.71482	Given at							
	RBLR 0905						PLACE				Endorsement							
	RBLR 0906						PLACE		52.05684	-2.71482	Given at							
	RBLR 0906						PLACE		52.05684	-2.71482	Given at							
	RBLR 0907	RBLR 0907, HCM 1733					PLACE		52.05684	-2.71482	Given at							
	RBLR 1001	RBLR 1001, HCM 61					PLACE		52.05684	-2.71482	Given at							
	RBLR 1101	RBLR 1101, HCM 2872					PLACE		52.05684	-2.71482	Given at							
	RBLR 1102						PLACE		52.05684	-2.71482	Given at							
	RBLR 1102						PLACE		52.05684	-2.71482	Given at							
	RBLR 1102						PLACE		52.05684	-2.71482	Given at							
	RBLR 1103	RBLR 1103, HCM 2873					PLACE		52.05684	-2.71482	Given at (suggested)							
	RBLR 1104						PLACE		52.05684	-2.71482	Given at							
	RBLR 1104						PLACE		52.05684	-2.71482	Given at							
	RBLR 1105						PLACE		52.05684	-2.71482	Given at							
	RBLR 1105						PLACE		52.05684	-2.71482	Given at							
	RBLR 1106	RBLR 1106, HCM 203					PLACE		52.05684	-2.71482	Given at							
	RBLR 1107	RBLR 1107, HCM 218					PLACE		52.05684	-2.71482	Given at							
	RBLR 1201	RBLR 1201, HCM 553					PLACE		52.05684	-2.71482	Given at							
	RBLR 1304	RBLR 1304, HCM 1722					PLACE		52.05684	-2.71482	Given at							
	RBLR 1401	RBLR 1401, HCM 12					PLACE		52.05684	-2.71482	Given at							
	RBLR 1402	RBLR 1402, HCM 13					PLACE		52.05684	-2.71482	Given at							
	RBLR 1403	RBLR 1403, HCM 14					PLACE		52.05684	-2.71482	Given at							
	RBLR 1404	RBLR 1404, HCM 117					PLACE		52.05684	-2.71482	Given at							
	RBLR 1604	RBLR 1604, HCM 35					PLACE		52.05684	-2.71482	Given at							
	RBLR 1606						PLACE		52.05684	-2.71482	Given at							
	RBLR 1606						PLACE		52.05684	-2.71482	Given at							
	RBLR 1606						PLACE		52.05684	-2.71482	Given at							
	RBLR 1702	RBLR 1702, HCM 1024					PLACE		52.05684	-2.71482	Given at							
	RBLR 1703	RBLR 1703, HCM 1001					PLACE		52.05684	-2.71482	Given at							
	RBLR 1705	RBLR 1705, HCM 1009					PLACE		52.05684	-2.71482	Given at							
	RBLR 1706	RBLR 1706, HCM 1025					PLACE		52.05684	-2.71482	Given at							
	RBLR 1707	RBLR 1707, HCM 1043					PLACE		52.05684	-2.71482	Given at							
	RBLR 1708	RBLR 1708, HCM 1045					PLACE		52.05684	-2.71482	Given at							
	RBLR 1710	RBLR 1710, HCM 1048					PLACE		52.05684	-2.71482	Given at							
	RBLR 1714	RBLR 1714, HCM 1011					PLACE		52.05684	-2.71482	Given at							
	RBLR 1715	RBLR 1715, HCM 1028					PLACE		52.05684	-2.71482	Given at							
	RBLR 1716	RBLR 1716, HCM 1031					PLACE		52.05684	-2.71482	Given at							
	RBLR 1717	RBLR 1717, HCM 1030					PLACE		52.05684	-2.71482	Given at							
	RBLR 1718	RBLR 1718, HCM 1019					PLACE		52.05684	-2.71482	Given at							
	RBLR 1719	RBLR 1719, HCM 1013					PLACE		52.05684	-2.71482	Given at							
	RBLR 1720	RBLR 1720, HCM 1021					PLACE		52.05684	-2.71482	Given at							
	RBLR 1721	RBLR 1721, HCM 1040					PLACE		52.05684	-2.71482	Given at							
	RBLR 1722	RBLR 1722, HCM 1041					PLACE		52.05684	-2.71482	Given at							
	RBLR 1723	RBLR 1723, HCM 1004					PLACE		52.05684	-2.71482	Given at							
	RBLR 1724	RBLR 1724, HCM 1012					PLACE		52.05684	-2.71482	Given at							
	RBLR 1725	RBLR 1725, HCM 1020					PLACE		52.05684	-2.71482	Given at							
	RBLR 1727	RBLR 1727, HCM 1006					PLACE		52.05684	-2.71482	Given at (suggested)							
	RBLR 1728	RBLR 1728, HCM 1016					PLACE		52.05684	-2.71482	Given at							
	RBLR 1729	RBLR 1729, HCM 2602					PLACE		52.05684	-2.71482	Given at							
	RBLR 1730	RBLR 1730, HCM 1008					PLACE		52.05684	-2.71482	Given at							
	RBLR 1731	RBLR 1731, HCM 1010					PLACE		52.05684	-2.71482	Given at							
	RBLR 1732	RBLR 1732, HCM 1003					PLACE		52.05684	-2.71482	Given at							
	RBLR 1733	RBLR 1733, HCM 1026					PLACE		52.05684	-2.71482	Given at							
	RBLR 1734	RBLR 1734, HCM 1044					PLACE		52.05684	-2.71482	Given at							
	RBLR 1735	RBLR 1735, HCM 1023					PLACE		52.05684	-2.71482	Given at							
	RBLR 1736	RBLR 1736, HCM 41					PLACE		52.05684	-2.71482	Given at							
	RBLR 1743	RBLR 1743, HCM 2677					PLACE		52.05684	-2.71482	Given at							
	RBLR 1804	RBLR 1804, HCM 39					PLACE		52.05684	-2.71482	Given at (suggested)							
	RBLR 1901	RBLR 1901, HCM 34					PLACE		52.05684	-2.71482	Given at							
	RBLR 1910	RBLR 1910, HCM 25					PLACE		52.05684	-2.71482	Given at							
	RBLR 2004	RBLR 2004, HCM 29					PLACE		52.05684	-2.71482	Given at							
	RBLR 2603						PLACE		52.05684	-2.71482	Given at							
	RBLR 3004-em						PLACE		52.05684	-2.71482	Given at							
	RBLR 3302						PLACE		52.05684	-2.71482	Given at							
	RBLR 3303	RBLR 3303, HCM R82					PLACE		52.05684	-2.71482	Given at							
	RBLR 3304						PLACE		52.05684	-2.71482	Given at							
	RBLR 3601						PLACE		52.05684	-2.71482	Given at							
	RBLR 3603						PLACE				Given at							
	RBLR 3604						PLACE		52.05684	-2.71482	Given at							
	RBLR 3701						PLACE		52.05684	-2.71482								
	RBLR 3703						PLACE		52.05684	-2.71482	Given at							
	RBLR 4303	RBLR 4303, HCM 1377					PLACE		52.05684	-2.71482	Given at							
	RBLR 4902-em						PLACE		52.05684	-2.71482	Given at							
	RBLR 6101	RBLR 6101, HCM 1448a					PLACE		52.05684	-2.71482	Given at							
	HCM 1116						PLACE				Given at							
	HCM 2603						PLACE				Given at							
	HCM 1496						PLACE		52.05684	-2.71482	Given at							
	HCM 2077						PLACE				Given at							
	HCM 2316						PLACE				Given at							
	HCM 2507						PLACE				Given at							
	HCM 2932.C.						PLACE				Given at							
	HCM 2939.A.						PLACE				Given at							
	HCM 3003						PLACE				Given at							
	HCM 661						PLACE				Given at							
	HCM 2745						PLACE				Given at							
	RBLR 0901						PLACE				Given at							
	HCM 1877						PLACE											
	HCM 1790						PLACE											
	RBLR 1815						PLACE				Given at							
	HCM 1368						PLACE				Given at							
	HCM 1369						PLACE				Given at							
	HCM 37						PLACE											
	HCM 359						PLACE											
	RBLR 3902						PLACE				Given at							
	HCM 1486						PLACE											
	HCM 1487						PLACE											
	HCM 2074						PLACE											
	HCM 1260						PLACE				Given at							
	HCM 2507						PLACE											
	HCM 2850						PLACE				Given at							
	HCM 1249						PLACE				Given at							
	HCM 1247						PLACE				Given at							
	HCM 246						PLACE				Given at							
	HCM 2887						PLACE											
	HCM 2871						PLACE				Given at							
	RBLR 1404	RBLR 1404, HCM 117					PLACE											
	HCM 2799						PLACE											
	HCM 2880						PLACE											
	HCM 2874						PLACE											
	HCM 326						PLACE											
	HCM 604						PLACE											
	HCM 2550						PLACE				Given at							
	HCM 1505						PLACE				Given at							
	RBLR 4001	RBLR 4001, HCM R95					PLACE		52.13333	-2.95	Given at (suggested)							
	HCM 492						PLACE				Given at							
	HCM 1809						PLACE				Given at							
	HCM 650						PLACE				Given at							
	HCM 651						PLACE		35.939459	9.211067	Given at							
	HCM 621						PLACE				Given at							
	HCM 1050						PLACE				Given at							
	HCM 1372	RBLR 2003, HCM 1372					PLACE		51.49635	-0.11152	Given at							
	HCM 1444						PLACE		51.49635	-0.11152	Given at							
	RBLR 2003	RBLR 2003, HCM 1372					PLACE		51.49635	-0.11152	Given at							
	RBLR 2603						PLACE				Given at							
	HCM 1713						PLACE				Given at							
	RBLR 2107						PLACE				Given at							
	RBLR 4407						PLACE											
	RBLR 4801						PLACE		51.49635	-0.11152	Given at							
	HCM 2100-em						PLACE											
	HCM 2100-em						PLACE											
	HCM 2100-em						PLACE											
	HCM 670						PLACE											
	HCM 678						PLACE											
	HCM 692						PLACE											
	HCM 755						PLACE											
	HCM 755						PLACE											
	HCM 2290						PLACE											
	RBLR 3605						PLACE											
	HCM 125						PLACE											
	HCM 430						PLACE											
	HCM 2100-em						PLACE											
	HCM 755						PLACE											
	HCM 340						PLACE											
	HCM 340						PLACE											
	HCM 340						PLACE											
	HCM 414						PLACE											
	HCM 65						PLACE											
	HCM 354						PLACE											
	HCM 420						PLACE											
	HCM 424						PLACE											
	HCM 516						PLACE											
	HCM 404						PLACE											
	HCM 421						PLACE											
	HCM 1292						PLACE											
	HCM 1053						PLACE											
	HCM 1054						PLACE											
	HCM 1055						PLACE											
	HCM 1524						PLACE											
	HCM 1799						PLACE		41.16454	-74.95212								
	HCM 1863						PLACE		41.16454	-74.95212								
	HCM 2316						PLACE											
	HCM 2735						PLACE		41.16454	-74.95212								
	HCM 601						PLACE		41.16454	-74.95212								
	HCM 604						PLACE		41.16454	-74.95212								
	HCM 360						PLACE											
	RBLR 4604	RBLR 4604, HCM R98a					PLACE											
	HCM 1025	RBLR 1706, HCM 1025					PLACE											
	RBLR 1706	RBLR 1706, HCM 1025					PLACE											
	RBLR 1705	RBLR 1705, HCM 1009					PLACE											
	HCM 693						PLACE											
	HCM 1822						PLACE											
	HCM 1370						PLACE											
	HCM 1769						PLACE											
	HCM 1866						PLACE											
	HCM 2455						PLACE											
	HCM 30						PLACE											
	HCM 661						PLACE											
	HCM 3216						PLACE											
	HCM 469						PLACE											
	HCM 1489						PLACE											
	HCM 29	RBLR 2004, HCM 29					PLACE											
	RBLR 2004	RBLR 2004, HCM 29					PLACE											
	HCM 34	RBLR 1901, HCM 34					PLACE											
	RBLR 1901	RBLR 1901, HCM 34					PLACE											
	HCM 1472						PLACE											
	HCM 324						PLACE											
	HCM 422						PLACE											
	HCM 423						PLACE											
	HCM 2111						PLACE											
	RBLR 4303	RBLR 4303, HCM 1377					PLACE											
	HCM 1377	RBLR 4303, HCM 1377					PLACE											
	HCM 710						PLACE											
	HCM 496						PLACE											
	RBLR 4902-em						PLACE											
	RBLR 4902	RBLR 4902, HCM R99a					PLACE											
	HCM 2690						PLACE											
	HCM 2690-em						PLACE											
	HCM 589						PLACE											
	HCM 1836						PLACE											
	HCM 1647						PLACE											
	HCM 608						PLACE											
	HCM 677						PLACE											
	HCM 608						PLACE											
	HCM 1903						PLACE											
	HCM 555						PLACE											
	HCM 555-em						PLACE											
	HCM 1333						PLACE											
	HCM 2469						PLACE											
	HCM 292						PLACE											
	HCM 684						PLACE											
	HCM 681						PLACE											
	HCM 1804						PLACE											
	HCM 1753						PLACE											
	HCM 348						PLACE											
	HCM 1249						PLACE											
	HCM 1193						PLACE											
	HCM 695						PLACE											
	HCM 2456						PLACE											
	HCM 1767-em1						PLACE											
