"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"3450514c-88e2-4415-a9ab-6e936a35199c","HCM_2671.txt","Robert de Cotinton","char-offset:27","PERSON","","","","","","","","Principal",""
"219f2cc7-2f2a-4087-a155-1a620d999635","HCM_2671.txt","Cotinton'","char-offset:37","PLACE","","","","","","","UNVERIFIED","Nominative",""
"d39d635b-4ac4-42b4-9709-d3e783979dc7","HCM_2671.txt","clerk of the dean and chapter of Hereford","char-offset:48","","","","","","","","","Job",""
"229508bb-6121-4341-8c47-a7b23be08a85","HCM_2671.txt","the dean and chapter of Hereford","char-offset:57","PERSON","","","","","","","","Collective",""
"eb465871-cc27-493a-bf4f-eb4042d61155","HCM_2671.txt","Hereford","char-offset:81","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"885be622-18b2-45c2-ad8f-2ff78b976a6b","HCM_2671.txt","dean and chapter","char-offset:103","PERSON","","","","","","","","Collective|Principal","that is, the dean and chapter of Hereford"
"eacb3056-3b7d-4a26-af79-1f22c9032fa2","HCM_2671.txt","W. the Young","char-offset:135","PERSON","","","","","","","","Principal","that is, William the Young, aka le Yonge, reciever of the dean and chapter of Hereford"
"5194b7cb-608f-4cdb-bd0d-632ab739aa4f","HCM_2671.txt","Hereford","char-offset:268","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"e815d636-5f76-42bf-b246-8b2bcfa6b2db","HCM_2671.txt","Latin","char-offset:278","","","","","","","","","Language",""
"a0049677-368a-43aa-8cf9-4d3609cbc4e7","HCM_2672.txt","John Bardulf","char-offset:26","PERSON","","","","","","","","Principal",""
"beafb803-3a7b-467f-bf2e-bfbcd1a74e7f","HCM_2672.txt","vicar of the church of Lugwardyn","char-offset:50","","","","","","","","","Job",""
"d7f29746-deb7-44b9-8748-d9333ca0e75c","HCM_2672.txt","Lugwardyn","char-offset:73","PLACE","","","","","","","UNVERIFIED","Nominative",""
"48921e2a-de2d-4e4d-87d8-3d98ef72f4ec","HCM_2672.txt","Dean and chapter of the cathedral church of Hereford","char-offset:87","PERSON","","","","","","","","Collective|Principal",""
"d8cb06b7-8221-459e-b261-17052b0dd256","HCM_2672.txt","Hereford","char-offset:131","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"334d9e30-0e96-4f22-a54e-faa4706d4917","HCM_2672.txt","Hereford","char-offset:273","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"5cfa11ae-8ece-45cf-b98a-038dca276e17","HCM_2672.txt","Latin","char-offset:283","","","","","","","","","Language",""
"1c655756-3fa8-4b95-8fb8-b0cc17a32f16","HCM_2673.txt","Gilbert de Bruera","char-offset:27","PERSON","","","","","","","","Principal",""
"3121317c-008f-472b-9e88-0e69c0f03d1a","HCM_2673.txt","Bruera","char-offset:38","PLACE","","","","","","","UNVERIFIED","Nominative",""
"fda92731-28b8-48a7-87db-48bdd1edf531","HCM_2673.txt","clerk","char-offset:46","","","","","","","","","Job",""
"e7bb69f3-e537-490d-b1e1-6314bf6b7c53","HCM_2673.txt","Dean and chapter of the church of Hereford","char-offset:56","PERSON","","","","","","","","Collective|Principal",""
"6a6afbbe-67f7-4b39-b138-dd1247e5bc9a","HCM_2673.txt","Hereford","char-offset:90","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"bffd2330-709e-4fab-9ab6-d19a1eac36c7","HCM_2673.txt","John de Barwe","char-offset:115","PERSON","","","","","","","","Principal",""
"8f674b12-6e16-4096-acab-9b6d0a692168","HCM_2673.txt","Barwe","char-offset:123","PLACE","","","","","","","UNVERIFIED","Nominative",""
"053ed899-de38-4686-bc50-8524f8398781","HCM_2673.txt","notary in the inquiry concerning the miracles of Thomas de Cantilupe","char-offset:213","","","","","","","","","Job",""
"bea8b809-e489-4bbc-93ee-578900984cbf","HCM_2673.txt","Thomas de Cantilupe, one time bishop of Hereford","char-offset:262","PERSON","","","","","","","","Dead",""
"2908a18d-3fc1-4870-92f8-aaf259300caa","HCM_2673.txt","Cantilupe","char-offset:272","PLACE","","","","","","","UNVERIFIED","Nominative",""
"239026c5-5c22-471e-8449-a0efc58518f8","HCM_2673.txt","Hereford","char-offset:302","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"5d60e01c-911b-4f4a-bb80-dc1352f08d94","HCM_2673.txt","London","char-offset:321","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","VERIFIED","Given at",""
"91edd4a5-23bd-4486-bf68-a1953a3330d0","HCM_2673.txt","Latin","char-offset:329","","","","","","","","","Language",""
"55d81ee1-a7a2-49f5-a125-cd5fdb893d52","HCM_2674.txt","Edward (?II)","char-offset:40","PERSON","","","","","","","","Principal","Edward II, King of England"
"dcb738ca-8ce2-41e8-804a-f735b27d0f9b","HCM_2674.txt","dean of Hereford","char-offset:60","PERSON","","","","","","","","Principal|Office","Dean of Hereford Cathedral|that is, John de Aqua Blanca (1278-1320)"
"39efb4d6-bb2c-4756-b2c6-2a7814dce9f2","HCM_2674.txt","Hereford","char-offset:68","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"1d8930de-0746-4d7c-875c-bc0c9ec56b4a","HCM_2674.txt","subcollector of the three yearsâ€™ tenth","char-offset:78","","","","","","","","","Job",""
"945d9019-fc1c-4da7-99c7-02362bec49ea","HCM_2674.txt","the Clergy of England","char-offset:128","PERSON","","","","","","","","Collective",""
"b8d45d92-fce8-4cd9-8495-479bc40f4a62","HCM_2674.txt","England","char-offset:142","PLACE","http://geo-kima.org/place/12708","England","","","","","VERIFIED","Nominative",""
"4cfe3879-4d55-4dde-b97e-fe4458a80bcf","HCM_2674.txt","the king","char-offset:165","PERSON","","","","","","","","","that is, King Edward II"
"80e2ee95-abff-4514-8a76-17da99d642a5","HCM_2674.txt","Emericus de Friscobald","char-offset:270","PERSON","","","","","","","","",""
"af6060fd-8247-4318-8aad-02932ef4b31a","HCM_2674.txt","Friscobald'","char-offset:282","PLACE","","","","","","","UNVERIFIED","Nominative","Frescobaldi, which is a major family of Florence"
"ebc968db-bc02-4fa6-91c7-4f1206344d20","HCM_2674.txt","merchants","char-offset:309","","","","","","","","","Job",""
"01d47a39-8109-4785-a463-cd61aab6ad16","HCM_2674.txt","the society of Friscobaldi of Florence","char-offset:322","PERSON","","","","","","","","Collective","Frescobaldi, which is a major family of Florence"
"df674853-9568-42d4-854d-0a1d494cf81b","HCM_2674.txt","Florence","char-offset:352","PLACE","http://sws.geonames.org/3176959","Florence","","43.77925","11.24626","","VERIFIED","Nominative",""
"d33f5e7b-6081-4e94-8263-51200f901c34","HCM_2674.txt","the king","char-offset:396","PERSON","","","","","","","","","Edward II, King of England"
"254621c8-c746-48bc-9cda-726d6fdd56fc","HCM_2674.txt","Westminster","char-offset:433","PLACE","http://sws.geonames.org/2634341","City of Westminster","","51.5","-0.11667","","VERIFIED","Given at",""
"23def838-a065-4362-9ace-60a98fc840d1","HCM_2674.txt","J. de Sandale","char-offset:448","PERSON","","","","","","","","Scribe","John de Sandale?"
"fd31cf8c-96dd-44b6-93e5-b46b113dc9c1","HCM_2674.txt","Latin","char-offset:463","","","","","","","","","Language",""
"b936a64c-9856-4255-928e-50395bc4b75e","HCM_2670.txt","Robert de Cotinton","char-offset:82","PERSON","","","","","","","","Principal",""
"cadbec79-a1c4-4584-b8ae-0ce1db6e6288","HCM_2670.txt","Cotinton'","char-offset:92","PLACE","","","","","","","UNVERIFIED","Nominative",""
"71072817-14b1-4a64-93eb-ae42933a5b4b","HCM_2670.txt","clerk of the dean and chapter of Hereford","char-offset:103","","","","","","","","","Job",""
"246f574d-5f11-45b8-b294-a4136a366664","HCM_2670.txt","the dean and chapter of Hereford","char-offset:112","PERSON","","","","","","","","Collective",""
"2c966092-c729-4f2c-b498-b135bee71728","HCM_2670.txt","Hereford","char-offset:136","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"e4c2aba9-5483-49fe-a6fb-6061f820f7bf","HCM_2670.txt","dean and chapter","char-offset:158","PERSON","","","","","","","","Collective|Principal","Dean and chapter of Hereford"
"3805fcdd-5d27-4c8e-80b4-c54828eafd4c","HCM_2670.txt","W. the Young","char-offset:198","PERSON","","","","","","","","","William the Young, aka le Yonge, receiver (?) of the dean and chapter of Hereford"
"ba51de0c-06c1-4978-aab2-5f7c232c22a4","HCM_2670.txt","Hereford","char-offset:348","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"b7edcd73-b8f4-4c81-a14a-2366a1bfa26a","HCM_2670.txt","Latin","char-offset:358","","","","","","","","","Language",""
"2d41eaf3-fffc-43d7-b875-2aeda8e29037","HCM_2670.txt","Seal","char-offset:365","","","","","","","","","Material feature",""
