Id	Node Type	Person_Named by	Person_Job	COMMENTS
Richard Berde de Ledebur	Person			as per comment to final witness, Roger le Skynnar, since Richard Berde is himself a notary/scribe by profession, it may be that he wrote this document himself, and not final witness; check the hand against other docs by Richard Berde to determine
Richard Broun de Galuerhull	Person			Medipernor(?)
Richard called de Monem'	Person			
Richard called Heruy	Person		clerk	Richard Hervy
Richard called the clerk, chaplain, son and heir of the late Richard le Clerke of Hereford beyond the Wye	Person			aka Richar le Clerk junior?
Richard de Bere	Person			
Richard de Braumford	Person			
Richard de Brochwardyn	Person			
Richard de Brocwardin	Person			
Richard de Brome	Person			
Richard de Brompton	Person			
Richard de Clehonger	Person			
Richard de Cruce	Person			
Richard de ecclesia de Hamton' in the manor of Munstreworthe	Person			
Richard de Hamenasch	Person		canon of Hereford	
Richard de Hamenays	Person		sub-dean of Hereford	
Richard de Harsecumb	Person			
Richard de Hoggesshawe	Person			
Richard de Hunteleye	Person			
Richard de La haye	Person		bailiff of the dean and chapter of Hereford	
Richard de la Lastres	Person			
Richard de La Mar	Person			
Richard de la Oldehulle	Person			
Richard de Lulham	Person			
Richard de Manus	Person			(?)
Richard de Nonnynton	Person		canons of the cathedral church of Hereford	
Richard de Oxindenn	Person			
Richard de Swynefeud	Person		bishop of Hereford	
Richard de Sydenhale	Person		commissary of the official of Adam [Orleton], bishop of Hereford	
Richard de Upton	Person			called de Credeleye|Vicar in the greater church of Hereford
Richard de Wycombe	Person			
Richard de Wykewane	Person		chaplains	
Richard Gilbard	Person			
Richard Gorlek	Person			
Richard Hakelute	Person			
Richard Haliday	Person			
Richard Hasard de Aschtun	Person			
Richard Heruy	Person		clerks of the diocese of Hereford	
Richard his brother	Person			Richard le Park [?], son of Robert le Park
Richard II	Person			King Richard II
Richard Ithenhaye	Person			
Richard le Balun	Person			
Richard le Child'	Person		parishioners	
Richard le Clerke	Person			that is, Richard le Clerke (senior), of Hereford beyond the Wye
Richard le Forster	Person			
Richard le Schep	Person			
Richard le tailour de Lugwardin	Person			
Richard Le Vikerys	Person			
Richard le Wodeward	Person		Commissioner	
Richard Malemort	Person		Commissioner	
Richard Monyword	Person		bailiff	
Richardon	Person			
Richard Perot de Ledebur	Person			
Richard son of Phillip de Brompton	Person			
Richard Swinfield	Person			Richard Swinfield
Richard Swinfield, bishop of Hereford	Person		bishop of Hereford,	
Richard the smith of Neuton	Person			
Richard Thurgrym	Person		citizens	
Richerd de Wynchecoumbe	Person			
Rikeman	Person			Roger Rikeman
Robert	Person			
Robert, archbishop of Canterbury	Person			
Robert, called le Dorturer de Selebourne	Person		notary public	
Robert, lord of Stauntone	Person			
Robert ate Heye	Person			
Robert Baynard	Person		sureties to the said bishop, dean and chapter	
Robert Boter	Person			
Robert Carpentar	Person		Carpentar	
Robert Culbel	Person			
Robert de Byford	Person		vicars	
Robert de Compton	Person			
Robert de Cotinton	Person		clerk of the dean and chapter of Hereford	
Robert de Cotinton, clerk of the dean and chapter of Hereford	Person			
Robert de Dunre	Person			
Robert de Dyk	Person			
Robert de Garewy	Person			
Robert de Glouc	Person		chancellor of the church of Hereford	
Robert de Gloucestr', chancellor	Person		chancellor	Robert de Gloucester, chancellor of Hereford Cathedral
Robert de Gloucestre	Person			
Robert de Gloucestria	Person			
Robert de Gorewall	Person			
Robert de Ho'tone	Person			
Robert de la Doune	Person		executors of the will of dominus Stephen de Thansto, formerly dean of Hereford	
Robert de la Doune de Rydmarleye	Person			
Robert de la Sete	Person			
Robert de Lassindon	Person			
Robert de Masinton	Person			
Robert de Penebrugg	Person			
Robert de Penres	Person			
Robert de Pirytone	Person			
Robert de Somersete	Person			
Robert de Weston	Person			
Robert Deynte	Person			
Robert Donnyng	Person			
Robert Foliot	Person			
Robert Knoyl	Person			
Robert le Chamberleyn	Person			
Robert le leche de Walsned	Person			
Robert le Park	Person			
Robert le Teyntour	Person			
Robert Sauage	Person			
Robert Trillek	Person			
Roger	Person			Roger Rikeman
Roger called de Ledebury.	Person			
Roger de Blitheslowe	Person		Commissioner	
Roger de Boyfelde	Person			
Roger de Breyntone	Person		clerk	
Roger de Bristoll	Person			
Roger de Bristollia	Person			
Roger de Bruneshop	Person			
Roger de Bruneshope de Hereford	Person			
Roger de Brunsope	Person			
Roger de Cestr	Person			
Roger de Dyk	Person			
Roger de Ereyntonia	Person		executor of the will of dominus Nicholas de Reygate	Roger de Breynton, not Ereyntonia--double check that this is in Handlist!
Roger de la Ghildhalle	Person			
Roger de la Ghildhselle	Person			
Roger de la Grene de Bulleye	Person			
Roger de Ledebury	Person			
Roger de le Halle	Person			
Roger de Luyde	Person			
Roger de Melton	Person			
Roger de Meltone Mounbray	Person			"""Champion"""
Roger de Mora	Person			
Roger de Mortemer	Person			Roger Mortimer
Roger de Munstreworthe	Person			
Roger de Poteston	Person			
Roger de Sevenak	Person		magister	
Roger de Wynton	Person			
Roger Digge	Person		his servant	
Roger Iwayn	Person			
Roger Laurenc' de Eton	Person			
Roger le Skynnar'.	Person			since Richard Berde de Lebury is himself a scribe/notary by profession, it may be that he has written the document, and not the final witness Roger le Skinner; check the hand again other Richard Berde documents
Roger le Taillur	Person		bailiff of the dean and chapter of Hereford	
Roger le Tayllor	Person			
Roger le Webbe	Person			
Roger le Yongehosebonde	Person			
Roger Ochelmon	Person		bailiffs of the king at Hereford	
Roger Ocwelmen	Person			
Roger Pelliparie	Person			
Roger Penk	Person			
Roger Pychard	Person		knights	
Roger Racy	Person			
Roger son of Henry le mason	Person			
Roger Spore	Person		Commissioner	
ROYAL CONFIRMATION	Person	Office		that is, this is an edict of King Edward II
Rushmarsh	Person			
Salop	Person			
Shorn'	Person			
Sibil	Person			
Simon de Norton	Person			Medipernor(?)
St. Catherine	Person			
St. Ethelbert of Hereford	Person			
St. Katherine the Virgin and martyr	Person			is this Katherine de Ledbury, or not?
St. Nicholas	Person			
Stephen	Person		rector of the church of Dunre	
Stephen de Buterleye	Person			
Stephen de Grene	Person			
Stephen de Masyntone	Person			
Stephen de Thanet’	Person		canons of the cathedral church of Hereford	
Stephen de Thansto	Person		dean of Hereford	
Stephen Normal	Person		clerks of the diocese of Hereford	
Stephen Norman	Person	Office	subexecutor of the said magister Petrus Guillelmi.	
Stephenson of John de Wormetone	Person			
Stephen son of William Payn	Person			
Stephen the smith	Person			
sub-dean of Hereford	Person	Office		
Sybil	Person			Wife of William de Grandisono
Symon de Lodelawe	Person			
The abbot and convent	Person	Collective		Abbot and convent of St Peter's Gloucester
the abbot and convent of St. Peter's, Gloucester,	Person	Office		
the abbot and convent of the monastery of St. James of Wiggemore in the diocese of Hereford	Person	Office		
the abbot and convent of the monastery of St. Peter's, Gloucester	Person	Office		
the abbot and convent of Wigmore	Person	Office		
the abbot of Gloucester	Person	Office		
the apostolic see	Person	Office		
the archbishops and bishops of England, their administrators and officials.	Person	Office		
the archdeacon	Person	Office		
the bishop	Person			Richard Swinfield
the bishop of Hereford	Person	Office		Richard Swinfield
the bishop of Llandaff	Person	Office		John
the burgesses of the town of Sweynes	Person	Office		
the canons	Person	Office		that is, those present at the obit of Stephen de Thantso
the canons of Hereford	Person	Office		that is, the dean and chapter of Hereford
the cardinal commissioners	Person	Office		
the cathedral church of Hereford	Person	Collective		
the chaplains in the church of Hereford	Person	Office		
the chapter of Hereford	Person	Office		
the chapter of the church of St. Ethelbert of Hereford	Person	Office		
the chapter of the same place	Person	Collective		Of the church of St. Ethelbert of Hereford
the chief collectors of the tenth	Person	Office		
the chief parishioners of Maddeleye	Person	Collective		
the citizens of Hereford	Person	Office		
the Clergy of England	Person	Collective		
the clergy of the province of Canterbury	Person	Collective		
the commissioners	Person	Office		that is, the Bishops of Mende and London
The commissioners’ auditors and notaries	Person	Office		
the convent of St. Peter's, Gloucester	Person	Collective		
the convent of the same place	Person	Collective		that is, the convent of the cathedral church of Worcester
the Court of Canterbury	Person	Office		
the custos of the almshouse of the same place	Person	Office		that is:  custos of the almshouse of the cathedral church of Hereford, which lies in the vill of Clehonger
The dean	Person			Dean of the church of St Mary of the Arches, London
the dean and chapter	Person	Office		of Hereford
the dean and chapter of Hereford	Person	Office		
the dean and chapter of the cathedral church of Hereford	Person	Collective		
the dean of St. Paul's, London	Person	Office		
the dean of the church of the blessed Mary of the Arches at London	Person	Office	commissary general of the official of the Court of Canterbury	
the dean of the Court of Arches	Person	Office		Dean of Church of St Mary of Arches, London
the Exchequer	Person	Collective		the Exchequer = unit of crown government
the executors of the will of dominus Richard de Swynefeud	Person	Collective		
the imprisoned clerks	Person	Collective		
their own messengers	Person	Office		
their servants and tenants of Traynmeybon Meurik and Thlaghharth' in Trayn Mawr in Gower	Person	Collective		that is, servants and tenants of David, William, Ievan ap Howel Vachan, and their father Howel
the judges	Person	Office		
the judges delegated in their cause	Person	Office		
the king	Person			King Edward II
the king's justices	Person	Collective		
the king's treasurer	Person	Office		
the king of England	Person	Office		King Edward II
the Lord of Gower	Person	Office		
the lord treasurer of Hereford	Person	Office		
the messengers of dominus Bartholomew	Person	Office		
the monastery of Gloucester	Person	Collective		
the notaries	Person	Office		
the official of the archdeacon of Norwich	Person	Office		
the official of the Court of Canterbury	Person	Office		
the other chaplains of the said chapel	Person	Office		that is, of the Chapel of St Katherine
the papal comissloners	Person	Office		that is, the Bishops of London and Mende
the Pope	Person			John XXII = successor to Clement V (d. April 1314)
the prebend of Gorewalle	Person	Office		
the prior	Person	Office		Prior of Kermerdyn
the prior and convent	Person	Office		Prior and convent of the cathedral church of Worcester
the prior of Breghenok'	Person	Office		
the prior of Kedewelly	Person	Office		
the prior of Kedwell’	Person	Office		
the Prior of Kermerdyn	Person	Office		
the proctor	Person	Office		Adam Orleton
the proctor of the dean and chapter of Hereford	Person	Office		
the proctors of the said magister Maurice	Person	Office		
the rector of the church of Estenovere	Person	Office		Rector of Eastnor
the rector of the upper hall (superioris aule) of Ledbur	Person	Office		
the rectors of the said parish	Person	Collective		that is, the rectors of Lydenye
the rest of the chaplains of the said chapel	Person	Office		
the said archdeacon	Person			William
the said bishop	Person	Office		Richard Swinfield, Bishop of Hereford
the said chaplain and his successors	Person	Collective		John de la Pounde and his successors
The said commissary	Person	Office		that is, Richard de Sydenhale
the said custos	Person			that is, the custos of the almshouse of the cathedral church of Hereford, which lies in the vill of Clehonger
the said dean and chapter	Person	Office		
The said dean and chapter by the hand of dominus W., their receiver.	Person	Collective		
the said de Cantilupo	Person			Thomas de Cantiljupe
the said executors	Person			executors of the will of Stephen de Thansto, i.e. Hamo Sandwich, Richard Nonnington, and Robert de la Doune
the said merchants	Person	Collective		of the Bardi of Florence
the said prebend of Gorewalle	Person	Office		
the said Richard	Person			Richard Hervy
the sheriff of Gloucestershire	Person	Office		
the society of Friscobaldi of Florence	Person	Collective	merchants	Frescobaldi, which is a major family of Florence
the steward of Gower	Person	Office		
the steward of the dean and chapter of Hereford	Person	Office		
the sub-dean of Hereford	Person	Office		
the true patron thereof	Person	Office		that is, of the church of the Blessed Mary of Avene in the diocese of Llandaff|i.e. Licent' de Morgan, Knight, as per below
the vicar of the church of Woluyuehop	Person	Office		
the vicar of the chureh of Longestaunton',	Person	Office		unclear whether Thomas le Childe is the vicar of Longestaunton, or one of the parishioners
the vicars and clerks of the choir present at the obit	Person	Office		that is, those present at the obit of Stephen de Thansto
the writer's proctor	Person	Office		
Thlaghharth	Person			
Thomas	Person		clerks	that is, Thomas de Orleton
Thomas, cardinal of England	Person			
Thomas, lord of Overton	Person			
Thomas Aubrey	Person			
Thomas Cothgh	Person			
Thomas de Ayleston	Person			
Thomas de Aylineston	Person		tailor	
Thomas de Boleye	Person		proctor of the dean and chapter of the cathedral church of Hereford	
Thomas de Cantilupe, one time bishop of Hereford	Person			
Thomas de Cantilupo	Person		bishop of Hereford	
Thomas de Dan	Person		rector of the parish church of Hompton' near Hereford	
Thomas de Gynes	Person			
Thomas de Henthlan	Person			
Thomas de Hewe	Person			
Thomas de la Barre	Person		citizens	
Thomas de la Felde	Person			
Thomas de Maddeleye	Person			
Thomas de Orleton	Person		clerk	
Thomas de Orleton', clerk	Person			
Thomas de Penbrugge	Person		treasurer	
Thomas de Penebrugg	Person		clerk	
Thomas de Sengilton	Person			
Thomas de Stretton	Person			
Thomas Goch	Person			
Thomas Hamound	Person			
Thomas Kec	Person			
Thomas le Breoton	Person		canon of Hereford	
Thomas le Brut	Person			
Thomas le Childe'	Person		parishioners	
Thomas Legert	Person		chaplain	
Thomas le Webbe	Person			
Thomas Sandi	Person			
Thomas son of John de Homptone	Person			Thomas de Homptone?
Thomas Theobaud	Person		bailiff of the bishop of Hereford	
Thomas Tope	Person			
Thomas Tybaud	Person			
Thome de Cantulupo	Person		bishop of Hereford	Thomas de Cantilupe
Traynmeybon Meurik	Person			
treasurer in the church of St. Ethelbert of Hereford	Person	Office		
treasurer of Hereford	Person	Office		
vicar in the church of Hereford	Person	Office		
vicar of Preston	Person	Office		
vicars and clerks of the choir	Person	Office		of Hereford Cathedral
Virgin	Person			
W.	Person			
W. the Young	Person			that is, William the Young, aka le Yonge, reciever of the dean and chapter of Hereford
Waiter ludas	Person			
Walter	Person			
Walter, archbishop of Canterbury	Person		commissary	
Walter Arnald	Person			
Walter Brond	Person			
Walter called de La Barre	Person			
Walter Caperun	Person			
Walter Cole	Person			
Walter Cole de Waddeleye	Person			
Walter de Breynton	Person			
Walter de Cimiten	Person			
Walter de Dunr	Person			
Walter de Euysham	Person			
Walter de Hope	Person			
Walter de Keyrlyon	Person		priest	
Walter de la Bache	Person		reeves of Preston	
Walter de la Borcote	Person			
Walter de la Boxe	Person			
Walter de la More	Person			
Walter de la Stepple	Person			
Walter de Leom	Person			
Walter de Maddeleye	Person		notary public	
Walter de Monyton	Person			
Walter de Morcote	Person			
Walter de Nasse	Person		Commissioner	
Walter de Norton	Person		laymen	
Walter de Staunton	Person			
Walter de Thornbury,	Person			
Walter de Wardlowe	Person		reeves of Preston	
Walter de Weston	Person			
Walter Iudas	Person			
Walter Kedeford	Person		Commissioner	
Walter le baggere	Person			
Walter le Bonde	Person			
Walter le Brut	Person			
Walter le Calewe	Person			
Walter le Chamberleyn	Person			
Walter le Spicer	Person			
Walter le Spisor	Person			
Walter Mantel	Person		his servant	
Walter Morewy	Person			of Nortone
Walter of Turford	Person			
Walter Oghwelman, chaplain	Person			
Walter Roggers	Person			
Walter son of Henry le Reue de Waltone	Person			
Walter son of Roger de Mora	Person			
Walter son of William Hathewy of Oxenhale	Person			
Walter son of William Hathi of Oxenhale	Person			
Walter the fisherman (piscator) of Retherwas	Person			
Walter Theobaud	Person			
Walter Thop	Person			
Walter Thorgrym	Person		bailiff of the bishop of Hereford	
Walter Tope	Person			
Walter Whytte	Person			
Warren de Cheuenham	Person			
Wigmore	Person			
William	Person			
William, cardinal-priest of St. Pudentiana's (sancte potenciane)	Person			
William [de] Testa, archdeacon of A[...]n in the church of Cominges ('Archidiacon' Aranen' in ecclesia Couen' ')	Person		archdeacon of A[...]n in the church of Cominges ('Archidiacon' Aranen' in ecclesia Couen' ')	
William ap Howel Vachan	Person			
William Balle	Person			
William Bene	Person			
William Benet de la Wallis	Person			
William Bernard	Person			
William Bollok	Person			
William Bouhs	Person		clerks	
William called le Bonde	Person			
William Carbonel	Person			
William Coumartyn	Person		sureties to the said bishop, dean and chapter	
William Crodele	Person			
William de Aylyneston	Person			
William de Baysham	Person			
William de Bereford	Person			
William de Birston	Person			
William de Bleegh(?)	Person			
William de Brewos	Person			
William de Brewosia	Person		lord of the honour of Brember and Gower	
William de Brompton	Person			
William de Byspewalle	Person			
William de Calewe	Person			
William de Caple	Person			
William de Cirescestre	Person		goldsmith	
William de Clehungre	Person			
William de Clifford	Person			
William de Donecastr	Person		sureties to the said bishop, dean and chapter	
William de Euysham	Person			
William de Foston'	Person		chaplain	receiver of the dean and chapter of Hereford
William de Frome	Person			
William de Grandisono	Person			
William de Halstede	Person		commissary of dominus R., bishop of London	
William de Henor	Person			
William de Henouere	Person			
William de Knapeton	Person		canon of the cathedral church of Hereford	
William de Kyngescote	Person		canon of Hereford	
William de la Hay	Person			
William de la Walle	Person			
William de la Wode	Person			
William de Maldon’	Person		notary public	
William de Mortuo Mari	Person			
William de Orleton	Person			
William de Preston	Person			
William de Pydesmore	Person			
William de Ros	Person		archdeacon of Salop,	
William de Ryonnes	Person			
William de Shyreburn	Person			
William de Staundon	Person			
William de Stretton	Person		clerks of the diocese of Hereford	
William de Suanton	Person		rector of the church of Cherring'	
William de Tests	Person		archidiaconus Aranensis in ecclesis Connen'	
William de Trilleck	Person			
William de Wanetyng	Person			is William de Wanetyng NOT a citizen of Salisbury like Reginald?; check to see if there's a typo (should it have been Citizens plural?)
William de Welynton	Person			
William Ely	Person		Commissioner	
William Eseger de Ledebury	Person			
William Geraud	Person			
William Godknave	Person			
William Hamelyn	Person			
William Hathewy	Person			
William Hathi	Person			
William his brother	Person			that is, William (de Thornbury?) brother of Walter de Thornbury
William Howard	Person			
William in le Hale	Person			
William Inthehale	Person			
William Jouderay	Person			
William Knoyl	Person			
William le Blake	Person			
William le Bonde	Person			
William le Brok	Person			
William le Calew	Person			
William le Cok ' de Staunton	Person			
William le Comsere	Person			"Is this William le Corvisier, aka Seym (""Seam"") ie cobbler?"
William le Coruiser	Person			
William le Espicer	Person			
William le Gondre	Person			
William le Herdemon	Person			
William le Knoyl	Person			
William le Neucome	Person			
William le Stedemon de Ros	Person			
William Lethenard	Person			
William le Tornour	Person			
William le vinour de Ledebur	Person			
William le Webbe de Ros	Person			
William le Wodeward	Person		Commissioner	
William Mangant	Person			
William Mangaund	Person			
William Noremon	Person			
William Ploume	Person			
William Reed	Person			
William Russel	Person			
William Seruat	Person		sureties to the said bishop, dean and chapter	
William son of Adam Hanlyn	Person			
William son of Adam Knoil	Person			
William son of Hugh de Bromfeld	Person			
William son of John de la More	Person			
William the clerk of Stok	Person			
William the Young	Person			
William Trente	Person		sureties to the said bishop, dean and chapter	
William Valet, subtreasurer of the church of Hereford	Person			
William Vallet	Person		subtreasurer of the church of Hereford	
William Vallet, subtreasurer	Person		subtreasurer	of Hereford
William Vynt	Person			
William Woderoue of Estenouere	Person			
William Wycher	Person			
William Wyteknyght de Munstreworthe	Person			
William Wytte de Stauntone juxta Cors	Person			
Williem de Brewes'	Person			
Williem of the same	Person			that is, William de Dunre
Williem Valet	Person		sub-treasurer in the church of Hereford	
Williom de la Pole of Ledbury	Person			
Willion Vallet	Person		vicar in the church of Hereford	
Willism de Bliburg	Person			Hereford canon
Willym ap Oweyn	Person			
