QUOTE_TRANSCRIPTION	Common Name	LAT	LNG	TAGS	COMMENTS
London	London	42.98339	-81.23304	Nominative	
Maldon’	Maldon’	51.7311	0.67463	Nominative	
Winchester	Winchester	51.06513	-1.3187	Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Westminster	Westminster	51.5	-0.11667	Given at	
Aqua Blanca	Aqua Blanca			Nominative	
Bruttonestrete	Bertonestrete			Street	
chapter-house at Hereford	chapter-house at Hereford			Given at	
highway	highway			Street	
land of John le Chapmon	land of John le Chapmon			Property	
land of John le Werrour	land of John le Worrour			Property	
land of Nicholas le Barbour	land of Nicholas le Barbour			Property	
Wyghtfeld	Wyghtfeld			Nominative	
crose	crose			Nominative	
Estenouere	Eastnor			Nominative	Eastnor, near Ledbury?
la Pole	la Pole			Nominative	
la Wode	la Wode			Nominative	
Ledbury	Ledbury	52.03639	-2.42635	Given at	
the highway	the highway			Street	
Breghenok	Breghenok			Nominative	
Byford’	Byford’	-32.22099	116.009	Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Mortemer	Mortemer			Nominative	
Westminster	Westminster	51.5	-0.11667	Given at	
Florence	Florence	43.77925	11.24626	Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Westminster	Westminster	51.5	-0.11667	Given at	
Bosebur	Bosebury			Given at	Bosbury
Hereford	Hereford	52.05684	-2.71482	Nominative	
Thonderlee	Thonderlee			Given at	
Dudeleye	Dudeleye			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
high street	high street			Street	
la Lastres	la Lastres			Nominative	
land of dominus Hugh the wheel-wright	land of dominus Hugh the wheel-wright			Property	
land of grantor	land of grantor			Property	
Luyde	Luyde			Nominative	
Smalpors	Smalpors			Natural feature	
street of Wydemarsh' in the suburb of Hereford	street of Wydemarsh' in the suburb of Hereford			Street	
church of Hereford	church of Hereford			Building	
Hereford	Hereford	52.05684	-2.71482	Nominative	
la Barre	la Barre	46.88059	-2.12168	Nominative	
Wydemarstrete	Wydemarstrete			Street	
Bosebur	Bosebury			Given at	Bosbury, a manor of the Bishop of Hereford
Cherlton	Charleton			Nominative	Charleton?
Dan	Dan	33.24856	35.65252	Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hompton	Homptone			Nominative	
the cemetery of the cathedral church of Hereford	the cemetery of the cathedral church of Hereford	52.05684	-2.71482	Building	
Wrocwardin	Wrocwardin			Nominative	
Bristollia	Bristol	51.45523	-2.59665	Nominative	
Clehungre	Clehonger			Nominative	
land of David de Rotherwas	land of David de Rotherwas			Property	
land of dominus Walter Oghwelman	land of dominus Walter Oghwelman			Property	
Ledebury	Ledbury	52.03639	-2.42635	Nominative	
Rotherwas	Retherwas			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Byhindethewalle	Byhindethewalle			Street	
Gloucestria	Gloucester	51.86568	-2.2431	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Monyton	Monnington on Wye			Nominative	Monnington on Wye
Ros	Ros	51.91667	-2.56667	Nominative	
the church of St. Ethelbert	the church of St. Ethelbert of Hereford			Building	
Wythfeld	Wythfeld			Nominative	
Bewnal	Bewnal			Street	
Hereford	Hereford	52.05684	-2.71482	Given at	
Orleton	Orleton	52.3	-2.75	Nominative	
Stretton	Stretton	53.33333	-2.56667	Nominative	
Welbeton	Welbeton			Nominative	
Wormbrugg	Wormbrugg			Nominative	
Aqua blanca	Aqua Blanca			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
la Doune	la Doune			Nominative	
Nonnynton	Monnington			Nominative	Monnnington on Wye?
Sandwyco	Sandwyco			Nominative	Sandwich
Thansto,	Thansto			Nominative	maybe Thanet, as in, the Isleo f?
the chapter-house of Hereford	the chapter-house of Hereford			Building	
Hereford	Hereford	52.05684	-2.71482	Given at	
Ipr	Ipr			Nominative	
Ledeburi	Ledbury			Nominative	
Moniton	Monyton			Nominative	
Straddel	Straddel			Nominative	
Waddeleye	Waddeleye			Nominative	
Wormele	Wormele			Nominative	
Wycombe	Wycombe	51.62907	-0.74934	Nominative	
Breynton	Breynton			Nominative	
Buesham	Buesham			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Ledecote	Ledecote			Nominative	
Stottesdon	Stottesdon			Nominative	
Sydenhale	Sydenhale			Nominative	
the cathedral church of Hereford	the cathedral church of Hereford	52.05684	-2.71482	Building	
Wiggemore	Wiggemore	52.31667	-2.85	Nominative	
Brehousa	Brehousa			Nominative	
Yeygne	Eign Street			Street|Nominative	Eign Street, in Hereford
England	England			Nominative	
Gorewalle	Gorewalle			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
la Haye	la Haye	49.22553	1.06774	Nominative	
la Pounde	la Pounde			Nominative	
Ledebur'	Ledbury			Nominative	
Maddeleye	Maddeleye			Nominative	
Monyton	Monnington on Wye			Nominative	Monnington on Wye
Orleton'	Orleton	52.3	-2.75	Nominative	
St. Nicholas (in vico Sancti Nicholi)	St. Nicholas (in vico Sancti Nicholi)			Street	
the altar of St. Mary on the south side of the said churc	the altar of St. Mary on the south side of the said churc			Building	
the chapel of St. Katherine the Virgin and Martyr of Hereford	the chapel of St. Katherine the Virgin and Martyr of Hereford			Building	
the chapter, Hereford	the chapter, Hereford	52.05684	-2.71482	Building	
the highway called Fouleslough	the highway called Fouleslough			Street	
the highway,	the highway			Street	
the house of the lepers of Yeygne	the house of the lepers of Yeygne			Building	
the said church	the said church	52.05684	-2.71482	Building	
Wykewane	Wykewane			Nominative	
Bromfeld	Bromfeld			Given at	
Bromfeld	Bromfeld			Nominative	
Buterleye	Buterleye			Nominative	
Halton	Halton	53.31667	-2.7	Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Bosebur	Bosebury			Given at	Bosbury, manor of the Bishop of Hereford
Hereford	Hereford	52.05684	-2.71482	Nominative	
Chichester	Chichester	50.83673	-0.78003	Nominative	
Dene	Dene			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Kemeseye	Kemeseye			Nominative	
Llandaff,	Llandaff			Nominative	
Ros	Ros	51.91667	-2.56667	Nominative	
Shropshire	Shropshire			Nominative	
Swenesfeld	Swenesfeld			Nominative	
the chapter of Hereford	the chapter of Hereford			Building	
the forest of Dene	the forest of Dene			Natural feature	
Barewe	Barewe			Nominative	
Brayntone	Breynton			Nominative	
Bruneshope	Bruneshope			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford			Nominative	
Ledebury	Ledbury			Nominative	
Monytone	Monyton			Nominative	
Somersete	Somersete			Nominative	
Gloucester	Gloucester	51.86568	-2.2431	Given at	
Gloucester	Gloucester	51.86568	-2.2431	Nominative	
Keyrlyon	Keyrlyon			Nominative	
Llandaff	Llandaff			Nominative	
Chirebury	Chirebury			Given at	Chirbury is a village in west Shropshire
Dunre	Dunre			Nominative	
the church	the Church of Dunre			Building	that is, the Church of Dunre
Hereford	Hereford	52.05684	-2.71482	Nominative	
Gloucestre	Gloucester			Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
their church	their church			Building	
Bosebur	Bosebury			Given at	Bosbury, a manor of the bishop of Hereford
Hereford	Hereford	52.05684	-2.71482	Nominative	
Bureford	Bureford			Nominative	
Canterbury	Canterbury	51.27904	1.07992	Nominative	
Donecastr’	Doncaster	53.52285	-1.13116	Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Langele	Langele			Given at	
Sandale	Sandale			Nominative	
Aqua Blanca	Aqua Blanca			Nominative	
church of Bayshan	church of Bayshan			Building	
Given in the chapter-house at Hereford	Given in the chapter-house at Hereford			Building|Given at	
Henthlan.	Henthlan			Nominative	
the fields of Pencoyt	the fields of Pencoyt			Natural feature	
Barwe	Barewe			Nominative	
Galuerhull	Galuerhull			Nominative	
Given in the chapter-house at Hereford	Given in the chapter-house at Hereford			Building|Given at	
Norton	Nortone			Nominative	
Staunton	Staunton			Nominative	White Staunton near Exeter? Staunton in the Vale?
the chapter-house at Hereford	the chapter-house at Hereford			Building|Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
London	London	51.50853	-0.12574	Given at	
London	London	51.50853	-0.12574	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
London	London	51.50853	-0.12574	Given at	
Henouere	Henouere			Given at	
Henouere	Henouere			Nominative	
Henouere	Henouere			Given at	
Henouere	Henouere			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Aylyneston’	Aylineston			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Warewyk	Warewyk	52.28333	-1.58333	Nominative	
Henouere	Henouere			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Warrewyk'	Warewyk	52.28333	-1.58333	Nominative	
the abbey of Wygemore	the abbey of Wygemore			Given at	
he church of St. Ethelbert of Hereford	the church of St. Ethelbert of Hereford			Building	
Wygemore	Wiggemore			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Bliburg	Bliburg			Nominative	
London	London	51.50853	-0.12574	Given at	
Caple	Caple			Nominative	
Gloucestria	Gloucester	51.86568	-2.2431	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
London	London	42.98339	-81.23304	Given at	
Whitteneye	Whitteneye			Nominative	
London	London	51.50853	-0.12574	Given at	
London	London	51.50853	-0.12574	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Barewe	Barewe			Nominative	
Foston'	Foston'			Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
henor';	henor';			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Barwe	Barewe			Nominative	
Bromfeld	Bromfeld			Nominative	
London	London	42.98339	-81.23304	Given at	
Cotinton'	Cotinton			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
la Barewe	la Barewe			Nominative	
Cotinton'	Cotinton			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Cotinton'	Cotinton			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Lugwardyn	Logwardyn			Nominative	
Barwe	Barewe			Nominative	
Bruera	Bruera			Nominative	
Cantilupe	Cantiplue			Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
London	London	42.98339	-81.23304	Given at	
England	England			Nominative	
Florence	Florence	43.77925	11.24626	Nominative	
Friscobald'	Friscobaldi			Nominative	Frescobaldi, which is a major family of Florence
Hereford	Hereford	52.05684	-2.71482	Nominative	
Westminster	Westminster	51.5	-0.11667	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
London	London	51.50853	-0.12574	Given at	
the church of St. Ethelbert of Hereford	the church of St. Ethelbert of Hereford			Building	
Hereford	Hereford	52.05684	-2.71482	Given at	
Orleton	Orleton	52.3	-2.75	Nominative	
St. Paul's, London	St. Paul's, London	51.5137417	-0.098465147	Given at	
Cotinton	Cotinton			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Bromfeld'	Bromfeld			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
church of St. Ethelbert of Hereford	church of St. Ethelbert of Hereford			Building	
Clere	Clere			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Orleton	Orleton	52.3	-2.75	Nominative	
London	London	51.50853	-0.12574	Given at	
Wytteneye	Whitteneye			Nominative	
London	London	51.50853	-0.12574	Given at	
Wytteney	Whitteneye			Nominative	
London	London	51.50853	-0.12574	Given at	
Yanewrth'	Yaneworth			Nominative	
church of Hereford	church of Hereford			Building	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Meltone Mounbray	Meltone Mounbray			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Orletone	Orleton			Nominative	
he church of St. Ethelbert of Hereford	the church of St. Ethelbert of Hereford			Building	
Ledbury	Ledbury	52.03639	-2.42635	Given at	
Aqua Blanca,	Aqua Blanca			Nominative	
Hamenays	Hamenays			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Lydeneye	Lydeneye			Property	
Aqua Blanca	Aqua Blanca			Nominative	
Belves	Belves			Nominative	in Latin, Beluacen
Canterbury	Canterbury	51.27904	1.07992	Nominative	
Cominges	Comminges			Nominative	
Gardino	Gardino			Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
London'	London	51.50853	-0.12574	Nominative	
Orlenton	Orlenton	52.3	-2.75	Nominative	
Reygate	Reygate			Nominative	
Sisiriaco	Sisiriaco			Nominative	
Testa	Testa	41.8260966	16.1999353	Nominative	
the house of the dean of St. Paul's, London	the house of the dean of St. Paul's, London			Building	
Annaghdown (Enachdunensis)	Annaghdown (Enachdunensis)			Nominative	
the said church	Hereford Cathedral	52.05684	-2.71482	Building	Hereford Cathedrak
Hereford	Hereford	52.05684	-2.71482	Nominative	
Reygate	Reygate			Nominative	
Braunfort	Braunfort			Nominative	
Ereyntonia	Breynton			Nominative	Breinton
Bristoll	Bristol	51.45523	-2.59665	Nominative	
Brunsope	Bruneshope			Nominative	
Hereford	Hereford	52.05684	-2.71482	Nominative	
la Pounde	la Pounde			Nominative	
Reygate	Reygate	51.23736	-0.20582	Nominative	
Somersete	Somersete			Nominative	
Welynton’	Welintone			Nominative	
Barwe	Barewe			Nominative	
Byhyndethewalle	Byhindethewalle			Street	
Gloucestr'	Gloucester	51.86568	-2.2431	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
la Barre	la Barre	46.88059	-2.12168	Nominative	
Maddeley	Maddeleye			Nominative	
Wythfeld	Wythfeld			Nominative	
Dudelebur	Dudelebury			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
the chapter-house at Hereford	the chapter-house at Hereford			Building	
the church of Dudelebur'	the church of Dudelebur'			Building	
land of John Pride	land of John Pride			Property	
land of the grantee	land of the grantee			Property	
land of the said Thomas	land of the said Thomas			Property	
land of Thomas Thoubaud	land of Thomas Thoubaud			Property	
two acres of land	two acres of land			Property	
Wydemarsmore	Wydemarsmore			Nominative	
Bosebur	Bosebury			Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
five acres of arable land	five acres of arable land			Property	
Hereford	Hereford	52.05684	-2.71482	Given at	
houses	houses			Property	
Westminster.	Westminster	51.5	-0.11667	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
Ledebury	Ledbury			Nominative	
Windsor	Windsor			Given at	
Avignon	Avignon	43.95159	4.80769	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Ros	Ros	51.91667	-2.56667	Nominative	
Gyues	Gyse			Nominative	
la Bache	la Bache			Nominative	
Ros	Ros	51.91667	-2.56667	Nominative	
Boleye	Boleye			Nominative	
Bolyngehope	Bolyngehope			Nominative	
Canterbury	Canterbury	51.27904	1.07992	Nominative	
Hereford cathedral	Hereford Cathedral	52.05684	-2.71482	Building	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Penbrugge	Penbrugge			Nominative	
Ros,	Ros	51.91667	-2.56667	Nominative	
the chapter-house of the said church	the chapter-house of the said church	52.05684	-2.71482	Building	
the same church	the same church	52.05684	-2.71482	Given at	
Thornhagh'	Thornhagh'			Nominative	
Wilton	Wilton	41.19537	-73.4379	Nominative	
York	York	53.95763	-1.08271	Nominative	
Ros,	Ros	51.91667	-2.56667	Nominative	
Bermundeseye	Bermundeseye			Given at	
cathedral church of Hereford	cathedral church of Hereford	52.05684	-2.71482	Building	
chapter-house of the cathedral church of Hereford.	chapter-house of the cathedral church of Hereford.	52.05684	-2.71482	Building	
chapterhouse at Hereford.	chapter-house at Hereford	52.05684	-2.71482	Building	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Given at	
the chapter-house at Hereford.	the chapter-house at Hereford	52.05684	-2.71482	Building	
the church of St, Ethelbert	the church of St. Ethelbert of Hereford	52.05684	-2.71482	Building	
Goodrich Castell’	Goodrich Castell’			Given at	
Ledbury	Ledbury	52.03639	-2.42635	Given at	
Lodelawe	Lodelawe			Given at	
Newent	Newent	51.93365	-2.40815	Given at	
Tornour	Tornour			Nominative	
Bruneshop	Bruneshope			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Pounde	Pounde			Nominative	
Somercete	Somersete			Nominative	
Aylineston	Aylineston			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Monyton'	Monyton			Nominative	
the chapter-house at Hereford	the chapter-house at Hereford			Building|Given at	
Heye	Heye			Nominative	
Holeford	Holeford			Nominative	
Neucome	Neucome			Nominative	
Rydmarleye	Rydmarleye			Nominative	
Stauntone juxta Cors	Stauntone juxta Cors			Nominative	
Staunton	Staunton			Given at	
Staunton	Staunton			Nominative	
Brompton	Brompton	52.531065	-3.113228	Nominative	
Banwelle	Banwelle			Nominative	
Bleegh(?)	Bleegh(?)			Nominative	
Herdewyk	Herdewyk			Given at	
la More	la More	31.32216	45.63782	Nominative	
la Stepple	la Stepple			Nominative	
Sned	Sned			Nominative	
Thornbury	Thornbury	51.60889	-2.52028	Nominative	
Baysham	Baysham			Nominative	
Fowehop	Fownhope			Given at	Fownhope
Ho'tone	Ho'tone			Nominative	
Pirytone	Pirytone			Nominative	
the way called le Grenewey	the way called le Grenewey			Street	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Oppton Episcopi	Oppton Episcopi			Nominative	Bishop's Upton
Ros	Ros	51.91667	-2.56667	Nominative	
Braumford'	Braumford'			Nominative	
Bruneshope	Bruneshope			Nominative	
Byritone	Byritone			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford'	Hereford	52.05684	-2.71482	Nominative	
Kemesynge	Kemesynge			Nominative	
la Barewe,	la Barewe			Nominative	
la Berne	la Berne	46.983598	7.449678	Nominative	
la Felde	la Felde			Nominative	
la Hulle	la Hulle			Nominative	
Reygate	Reygate			Nominative	
Seuenak'	Seuenak'			Nominative	
Teyntone	Teyntone			Nominative	
the church lane leading towards Werham	the church lane leading towards Werham			Street	
the highway which leads towards Breyntone	the highway which leads towards Breyntone			Street	
the highway which leads towards Werham	the highway which leads towards Werham			Street	
Waye	the river Waye			Natural feature	the river Wye
Treyntone	Treyntone			Nominative	
Braumford'	Braumford'			Nominative	
Brunsope	Bruneshope			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Reygate	Reygate			Nominative	
Albriton	Albriton	52.6364	-2.27966	Nominative	
Blitheslowe	Blitheslowe			Nominative	
Bykenor	Bykenor			Nominative	
Lank'	Lank'			Given at	
Landaff	Llandaff			Given at	
Monmouth	Monmouth	51.81265	-2.71363	Nominative	
Nasse	Nasse			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
land of John de Kemeseye	land of John de Kemeseye			Property	
cathedral church of Hereford	cathedral church of Hereford	52.05684	-2.71482	Building	
Hereford	Hereford	52.05684	-2.71482	Given at	
Magna Marcleye	Magna Marcleye			Nominative	
Sancto Albano	Sancto Albano	51.75	-0.33333	Nominative	
Boyfelde	Boyfelde			Nominative	
Clewaresfelde	Clewaresfelde			Natural feature	
Clyntone	Clyntone			Nominative	
Gyse	Gyse	49.90055	3.62801	Nominative	
Harsecumb	Harsecumb			Nominative	
Morcote	Morcote			Nominative	
Munstreworthe	Munstreworthe			Nominative	
Badesshawe	Badesshawe			Nominative	
Broumia	Broumia			Nominative	
Lenhales	Lenhales			Nominative	
Turbeuill	Turbeuill			Nominative	
Waltone	Waltone			Nominative	
Calewe	Calewe	52.01667	-2.73333	Nominative	
Deweswalle	Deweswalle			Given at	
Grene	Grene			Nominative	
La Walle	La Walle			Nominative	
Wormetone	Wormetone			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Breynton	Breynton			Nominative	
Herdemon	Herdemon			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Ledebury	Ledbury			Nominative	
Mora	Mora	39.68492	-3.77394	Nominative	
Orleton	Orleton	52.3	-2.75	Nominative	
high street near the church of St. Peter	high street near the church of St. Peter			Street	
Henle	Henle			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Upton’	Upton’	42.17454	-71.60229	Nominative	
Aqua Blank'	Aqua Blanca			Nominative	
Berkeley	Berkeley	51.69111	-2.45917	Nominative	
Brugge	Brugge			Nominative	this is either Brugge Solers or Brugge Waleische; check Gilbert's other documents
Canterbury	Canterbury	51.27904	1.07992	Nominative	
Catfeld	Catfeld			Nominative	
Gloucestr'	Gloucester			Nominative	Gloucester
Hereford	Hereford	52.05684	-2.71482	Nominative	
Knapeton'	Knapeton'			Nominative	
Paston'	Paston			Nominative	
Raigate	Reygate			Nominative	aka Reigate, Reygate
Ros	Ros	51.91667	-2.56667	Nominative	
Salop	Salop			Nominative	
Stretton'	Stretton	52.697209	-2.153551	Nominative	
Thornhagh'	Thornhagh'			Nominative	
York	York	53.95763	-1.08271	Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
Orletone	Orleton	52.3	-2.75	Nominative	
Poteston'	Poteston'			Nominative	
Torbervile	Torbervile			Nominative	
Trilleck	Trilleck			Nominative	
Welintone	Welintone			Nominative	
Wye;	Wye	51.91667	-2.56667	Natural feature	
Hereford	Hereford	52.05684	-2.71482	Given at	
Sadelwruyhtestre	Sadelwruyhtestre			Street	
Clehonger	Clehonger			Nominative	
Hereford	Hereford	52.05684	-2.71482	Given at	
Hereford	Hereford	52.05684	-2.71482	Nominative	
la lowe	la lowe			Nominative	
la Oldehulle	la Oldehulle			Nominative	
Penebrugge	Penbrugge			Nominative	Pembridge?
the almshouse of the same place;	the almshouse of the cathedral church of Hereford, which lies in the vill of Clehonger			Nominative	the almshouse of the cathedral church of Hereford, which lies in Clehonger
the almshouse which lies in the vill of Clehonger.	the almshouse which lies in the vill of Clehonger.			Building	that is, the almshouse of the cathedral church of Hereford, which lies in the vill of Clehonger
