Source	Target	Role
HCM 119	land of John le Werour	Other
HCM 174	land of John le Werour	Other
HCM 186	land of John le Werour	Other
HCM 2876	land of John Pride	Other
HCM 186	land of Nicholas le Barbour	Other
HCM 2876	land of the grantee	Other
HCM 150	land of the parson of St. Nicholas in Hereford	Other
HCM 119	land of the said Hugh	Other
HCM 2876	land of the said Thomas	Other
HCM 2876	land of Thomas Thoubaud	Other
HCM 174	land of Walter the fisherman	Other
HCM 2260	Langele	Given at
HCM 623	Lank'	Given at
HCM 1506	Lanleweny	Other
HCM 1506	Lantefey	Other
HCM 1506	Lanteylau Vaur	Other
HCM 1169	Lanthon	Given at
HCM 2676	Lanthony Prima in Wales	Other
HCM 1264	Lanton	Nominative
HCM 1265	Lanton	Nominative
HCM 1281	Lanton	Nominative
HCM 946	la Oldehulle	Nominative
HCM 2151	la Pipe	Other
HCM 1918	la Pole	Nominative
HCM 2096	la Pounde	Nominative
HCM 2873	la Pounde	Nominative
HCM 1621	Lassindon’	Nominative
HCM 589	la Stepple	Nominative
HCM 2246	La Suze	Other
HCM 680	La Walle	Nominative
HCM 1918	la Wode	Nominative
HCM 1734	Ledbury	Given at
HCM 1734	Ledbury	Other
HCM 1918	Ledbury	Given at
HCM 1918	Ledbury	Other
HCM 287	Ledbury	Given at
HCM 352	Ledbury	Given at
HCM 1658a	Ledbury	Nominative
HCM 1734	Ledbury	Other
HCM 1751	Ledbury	Nominative
HCM 1751	Ledbury	Other
HCM 201	Ledbury	Nominative
HCM 2096	Ledbury	Nominative
HCM 209	Ledbury	Nominative
HCM 218	Ledbury	Nominative
HCM 290	Ledbury	Nominative
HCM 700	Ledbury	Nominative
HCM 290	Ledebury Forincec	Other
HCM 2093	Ledecote	Nominative
HCM 1247	le Hale	Nominative
HCM 1485	le Hale	Nominative
HCM 1751	le Longemor	Other
HCM 678	Lenhales	Nominative
HCM 3162	Lichfield	Other
HCM 1652	Lincoln	Given at
HCM 1834	Lincoln	Nominative
HCM 1851	Lincoln	Nominative
HCM 2597	Lincoln	Other
HCM 2598	Lincoln	Other
HCM 2599	Lincoln	Other
HCM 2600	Lincoln	Other
HCM 2717	Lincoln	Other
HCM 2721	Lincoln	Other
HCM 2722	Lincoln	Other
HCM 2723	Lincoln	Other
HCM 3155	Lincoln	Other
HCM 1780	Llandaff	Nominative
HCM 2159	Llandaff	Nominative
HCM 2217	Llandaff	Nominative
HCM 623	Llandaff	Given at
HCM 623	Llandaff	Other
HCM 1485	Lodelawe	Nominative
HCM 378	Lodelawe	Given at
HCM 1264	Logwardyn	Nominative
HCM 1265	Logwardyn	Nominative
HCM 1281	Logwardyn	Nominative
HCM 1035	London	Given at
HCM 1368	London	Other
HCM 1439	London	Given at
HCM 1441	London	Nominative
HCM 1442	London	Nominative
HCM 1442	London	Other
HCM 1503	London	Given at
HCM 1503	London	Nominative
HCM 1599	London	Given at
HCM 1658	London	Given at
HCM 1780	London	Given at
HCM 1834	London	Given at
HCM 1834	London	Nominative
HCM 1834	London	Other
HCM 1851	London	Nominative
HCM 1851	London	Other
HCM 2576	London	Given at
HCM 2579	London	Given at
HCM 2581	London	Given at
HCM 2595	London	Given at
HCM 2597	London	Given at
HCM 2597	London	Other
HCM 2598	London	Given at
HCM 2598	London	Other
HCM 2599	London	Given at
HCM 2599	London	Other
HCM 2600	London	Other
HCM 2667	London	Given at
HCM 2673	London	Given at
HCM 2714	London	Given at
HCM 2717	London	Other
HCM 2721	London	Given at
HCM 2721	London	Other
HCM 2722	London	Given at
HCM 2722	London	Other
HCM 2723	London	Given at
HCM 2723	London	Other
HCM 2871	London	Nominative
HCM 2871	London	Other
HCM 3162	London	Other
HCM 2151	Longastauton'	Other
HCM 383	Longedenesfeld	Other
HCM 1836	Longestaunton'	Nominative
HCM 1836	Longestaunton'	Other
HCM 2145	Longestaunton'	Other
HCM 2593	Longestaunton'	Other
HCM 1485	Lugwardin	Nominative
HCM 2672	Lugwardin	Nominative
HCM 385	Lutelhulfeld	Other
HCM 196	Luyde	Nominative
HCM 2159	Lydeneye	Other
HCM 2870	Lydeneye	Other
HCM 623	Lydeneye	Other
HCM 3162	Lyons	Other
HCM 1834	M'ndene	Nominative
HCM 1489	Maddeleye	Nominative
HCM 2096	Maddeleye	Nominative
HCM 2874	Maddeleye	Nominative
HCM 715	Maddeleye	Other
HCM 661	Magna Marcleye	Nominative
HCM 1851	Maldon’	Nominative
HCM 1506	manor at Castrum lupi	Other
HCM 593	Marlecroft	Other
HCM 1751	Mastinge	Other
HCM 1657	Masyntone	Nominative
HCM 2751	Meltone Mounbray	Nominative
HCM 1441	Mende	Nominative
HCM 1442	Mende	Nominative
HCM 1621	Menstr’ in island of Thanet	Given at
HCM 384	Middelfeld	Other
HCM 564	Middelfeld	Other
HCM 1503	Monemowe	Nominative
HCM 1506	Monmouth	Other
HCM 209	Moniton	Nominative
HCM 623	Monmouth	Nominative
HCM 1658	Montignac	Other
HCM 2059	Monyton	Nominative
HCM 2096	Monyton	Nominative
HCM 218	Monyton	Nominative
HCM 412	Monyton	Nominative
HCM 1169	Mora	Other
HCM 700	Mora	Nominative
HCM 1489	Mora Canonicorum	Other
HCM 670	Morcote	Nominative
HCM 385	Morehulfeld	Other
HCM 1313	Morgan	Given at
HCM 1929	Mortemer	Nominative
HCM 670	Munstreworthe	Nominative
HCM 623	Nasse	Nominative
HCM 559	Neucome	Nominative
HCM 378	Neuton	Other
HCM 383	Newent	Given at
HCM 2217	Newport (in novo burgo)	Other
HCM 1734	New Street	Other
HCM 2072	Nonnynton	Nominative
HCM 1417	Nortone	Nominative
HCM 2464	Nortone	Nominative
HCM 2464	Nortone	Other
HCM 2505	Nortone	Other
HCM 3180	Nortone	Other
HCM 1599	Norwich	Nominative
HCM 597	Oppton Episcopi	Nominative
HCM 1443	Orleton	Nominative
HCM 2871	Orlenton	Nominative
HCM 1752	Orleton	Nominative
HCM 207	Orleton	Nominative
HCM 2096	Orleton	Nominative
HCM 2716	Orleton	Nominative
HCM 2720	Orleton	Nominative
HCM 2779	Orleton	Nominative
HCM 700	Orleton	Nominative
HCM 773	Orleton	Nominative
HCM 1311	Ostrem	Given at
HCM 1311	Ostrem	Other
HCM 1529	Ostrem	Given at
HCM 1529	Ostrem	Other
HCM 755	Overebroynton	Other
HCM 1703	Overton	Nominative
HCM 383	Oxenhale	Other
HCM 384	Oxenhale	Other
HCM 385	Oxenhale	Other
HCM 386	Oxenhale	Other
HCM 1746	Parva Cuthbristleye	Other
HCM 758	Paston'	Nominative
HCM 1658	Pembroke	Other
HCM 1504	Penbray	Other
HCM 1505	Penbray	Other
HCM 3001	Penbrugge	Nominative
HCM 946	Penbrugge	Nominative
HCM 3198	Pencoyt	Other
HCM 1780	Penbrugge	Nominative
HCM 1311	Penres	Nominative
HCM 1313	Penres	Nominative
HCM 2870	Peter's pence	Other
HCM 593	Pirytone	Nominative
HCM 773	Poteston'	Nominative
HCM 405	Pounde	Nominative
HCM 2582	Preston	Other
HCM 1657	Pychenecombe	Other
HCM 1657	Pydesmore	Nominative
HCM 1752	Pyk	Other
HCM 1264	Pyon	Other
HCM 1281	Pyon	Other
HCM 1264	Pyon Canonicorum	Nominative
HCM 1264	Pyon Canonicorum	Other
HCM 1265	Pyon Canonicorum	Other
HCM 1281	Pyon Canonicorum	Nominative
HCM 1281	Pyon Canonicorum	Other
HCM 758	Raigate	Nominative
HCM 1780	rectory of Avene in the diocese of Llandaff	Other
HCM 174	Retherwas	Nominative
HCM 1752	Retherwas	Nominative
HCM 201	Retherwas	Nominative
HCM 2871	Reygate	Nominative
HCM 2872	Reygate	Nominative
HCM 2873	Reygate	Nominative
HCM 608	Reygate	Nominative
HCM 609	Reygate	Nominative
HCM 1311	Roilly	Nominative
HCM 1313	Roily,	Nominative
HCM 1443	Rome	Other
HCM 2996	Rome	Other
HCM 2059	Ros	Nominative
HCM 2159	Ros	Nominative
HCM 2995	Ros	Nominative
HCM 2996	Ros	Nominative
HCM 3001	Ros	Nominative
HCM 3008	Ros	Nominative
HCM 597	Ros	Nominative
HCM 758	Ros	Nominative
HCM 1169	Rushmarsh	Other
HCM 2096	Rushmarsh	Other
HCM 700	Ruyshemore	Other
HCM 559	Rydmarleye	Nominative
HCM 559	Rydmarleye de Albitot	Other
HCM 1621	Ryonnes	Nominative
HCM 90	Sadelwruyhtestre	Other
HCM 1505	Saint Ismael'	Nominative
HCM 608	Salhwelhulle	Other
HCM 1622	Salisbury (Nova Sarum)	Nominative
HCM 1368	Salop	Nominative
HCM 2593	Salop	Other
HCM 2995	Salop	Other
HCM 758	Salop	Nominative
HCM 661	Sancto Albano	Nominative
HCM 1754	Sancto Briavello	Nominative
HCM 2260	Sandale	Nominative
HCM 2072	Sandwyco	Nominative
HCM 1417	Schorn	Nominative
HCM 1443	Schorn	Nominative
HCM 2597	Scotland	Other
HCM 2598	Scotland	Other
HCM 2599	Scotland	Other
HCM 2717	Scotland	Other
HCM 2721	Scotland	Other
HCM 2722	Scotland	Other
HCM 2723	Scotland	Other
HCM 2600	Scotlend	Other
HCM 1313	Sengilton	Nominative
HCM 608	Seuenak'	Nominative
HCM 1752	Sevenok'	Nominative
HCM 2159	Shropshire	Nominative
HCM 2871	Sisiriaco	Nominative
HCM 2870	small commons	Other
HCM 196	Smalpors	Other
HCM 755	Smalthornesfeld	Other
HCM 589	Sned	Nominative
HCM 405	Somercete	Nominative
HCM 218	Somersete	Nominative
HCM 2873	Somersete	Nominative
HCM 1169	St. David's	Other
HCM 1503	St. David's	Nominative
HCM 1504	St. David's	Nominative
HCM 1505	St. David's	Nominative
HCM 1264	St. Ethelbert of Hereford	Other
HCM 1265	St. Ethelbert of Hereford	Other
HCM 1281	St. Ethelbert of Hereford	Other
HCM 432	St. Ethelbert of Hereford	Other
HCM 746	St. Ethelbert of Hereford	Other
HCM 946	St. Ethelbert of Hereford	Other
HCM 746	St. Nicholas	Other
HCM 2096	St. Nicholas (in vico Sancti Nicholi)	Other
HCM 1834	St. Paul's London	Other
HCM 1851	St. Paul's London	Other
HCM 2717	St. Paul's London	Given at
HCM 1657	St. Peter	Other
HCM 1658	St. Peter	Other
HCM 1679	St. Peter	Other
HCM 1682	St. Peter	Other
HCM 2675	St. Praxedes	Other
HCM 2871	St. Pudentiana	Other
HCM 1441	St. Sabine	Other
HCM 1657	Stanedichss	Given at
HCM 1682	Stanleye	Other
HCM 1683	Stanleye	Other
HCM 1682	Stanleye St. Leonards	Other
HCM 1683	Stanleye St. Leonards	Other
HCM 2464	Staunton	Nominative
HCM 559	Staunton	Given at
HCM 559	Staunton	Nominative
HCM 559	Stauntone juxta Cors	Nominative
HCM 2093	Stottesdon	Nominative
HCM 209	Straddel	Nominative
HCM 196	street of Wydemarsh' in the suburb of Hereford	Other
HCM 207	Stretton	Nominative
HCM 758	Stretton	Nominative
HCM 174	suburb of Hereford	Other
HCM 186	suburb of Hereford	Other
HCM 1059	Sugwas	Other
HCM 1918	Suht Ende	Other
HCM 1523	Swansea	Other
HCM 2159	Swenesfeld	Nominative
HCM 1313	Sweynes	Nominative
HCM 1523	Sweynes	Given at
HCM 1768	Sweynes	Given at
HCM 1768	Sweynes	Other
HCM 1003	Swynefeud	Nominative
HCM 1005	Swynefeud	Nominative
HCM 2093	Sydenhale	Nominative
HCM 181	tenement formerly belonging to Walter de la Borcote	Other
HCM 2871	Testa	Nominative
HCM 608	Teyntone	Nominative
HCM 1366	Thame	Given at
HCM 1848	Thanet’	Nominative
HCM 2072	Thansto,	Nominative
HCM 2593	the abbey of Wygemore	Given at
HCM 608	the aforesaid hay	Other
HCM 946	the almshouse of the same place;	Nominative
HCM 946	the almshouse which lies in the vill of Clehonger.	Other
HCM 2096	the altar of St. Mary on the south side of the said churc	Other
HCM 1313	the castle of Sweynes'	Other
HCM 1975	the cemetery of the cathedral church of Hereford	Other
HCM 2096	the chapel of St. Katherine the Virgin and Martyr of Hereford	Other
HCM 1581	the chapter-house at Gloucester	Other
HCM 1622	the chapter-house at Gloucester	Other
HCM 1682	the chapter-house at Gloucester	Other
HCM 1683	the chapter-house at Gloucester	Other
HCM 1746	the chapter-house at Gloucester	Other
HCM 181	the chapter-house at Hereford	Given at
HCM 186	the chapter-house at Hereford	Given at
HCM 2505	the chapter-house at Hereford	Given at
HCM 2875	the chapter-house at Hereford	Other
HCM 3180	the chapter-house at Hereford	Other
HCM 3198	the chapter-house at Hereford	Other
HCM 432	the chapter-house at Hereford	Given at
HCM 1754	the chapter-house at Worcester,	Other
HCM 3001	the chapter-house of the said church	Other
HCM 1442	the chapter-house the cathedral church of London	Other
HCM 2072	the chapter of Hereford	Other
HCM 2096	the chapter of Hereford	Other
HCM 2159	the chapter of Hereford	Other
HCM 1417	the chapter of the greater church of Hereford	Given at
HCM 2226	the church	Other
HCM 608	the church lane leading towards Werham	Other
HCM 2875	the church of Dudelebur'	Other
HCM 2226	the church of Dunre	Other
HCM 1506	the church of Lanleweny	Other
HCM 1503	the church of Saint Ismael	Other
HCM 1504	the church of Saint Ismael	Other
HCM 1505	the church of Saint Ismael	Other
HCM 1506	the church of Saint Ismael	Other
HCM 181	the church of St. Ethelbert of Hereford	Other
HCM 186	the church of St. Ethelbert of Hereford	Other
HCM 2059	the church of St. Ethelbert of Hereford	Other
HCM 2096	the church of St. Ethelbert of Hereford	Other
HCM 2145	the church of St. Ethelbert of Hereford	Other
HCM 2251	the church of St. Ethelbert of Hereford	Other
HCM 2260	the church of St. Ethelbert of Hereford	Other
HCM 2537	the church of St. Ethelbert of Hereford	Other
HCM 2593	the church of St. Ethelbert of Hereford	Other
HCM 2714	the church of St. Ethelbert of Hereford	Other
HCM 2720	the church of St. Ethelbert of Hereford	Other
HCM 2779	the church of St. Ethelbert of Hereford	Other
HCM 3198	the church of St. Ethelbert of Hereford	Other
HCM 2217	the church of St. Gundley in Newport (in novo burgo) in the diocese of Llandaff	Other
HCM 1780	the church of the Blessed Mary of the Arches, London	Other
HCM 1063	the church of Woluyuehop	Other
HCM 1489	the common bakehouse of the dean and chapter at Hereford	Other
HCM 1622	the common of the monastery of Gloucester,	Other
HCM 1581	the convent of St, Peter'	Other
HCM 1683	the convent of St, Peter'	Other
HCM 1746	the convent of St. Peter's, Gloucester	Other
HCM 1169	the convent of the same place	Other
HCM 1703	the field of Turford	Other
HCM 2463	the fields of Pencoyt	Other
HCM 1703	the field towards Wulferton'	Other
HCM 2159	the forest of Dene	Other
HCM 181	the gate called Westyate	Other
HCM 1752	thehale	Nominative
HCM 1169	the highway	Other
HCM 1918	the highway	Other
HCM 2096	the highway	Other
HCM 2096	the highway called Fouleslough	Other
HCM 608	the highway which leads towards Breyntone	Other
HCM 608	the highway which leads towards Werham	Other
HCM 2599	the Holy Land	Other
HCM 2721	the Holy Land	Other
HCM 2722	the Holy Land	Other
HCM 2723	the Holy Land	Other
HCM 1734	the Hospital of the Blessed Katherine at Ledbury	Other
HCM 2871	the house of the dean of St. Paul's, London	Other
HCM 2096	the house of the lepers of Yeygne	Other
HCM 2251	their church	Other
HCM 1736	the king's court at Westuinster	Other
HCM 1169	the land formerly of William Ploume	Other
HCM 1169	the land of Giles le deyare	Other
HCM 1169	the land of John Pryde	Other
HCM 1169	the land of John Throm	Other
HCM 1169	the land of Reginald Syward	Other
HCM 1169	the land of the dean and chapter of Hereford	Other
HCM 1169	the land of the prebend of Gorewalle	Other
HCM 1169	the land of the said dominus Hugh	Other
HCM 1169	the land of Thomas Theobaud	Other
HCM 1169	the land which belonged to John Lylie	Other
HCM 1169	the land which belonged to Thomas Theobaud	Other
HCM 1169	the land which belonged to William Ploume	Other
HCM 1622	the manor-house of Culn’ Roger	Other
HCM 1169	the monastery of Lanthon' Prima of the diocese of St. Davids	Other
HCM 2093	the monastery of St. James of Wiggemore in the diocese of Hereford	Other
HCM 1581	the monastery of St. Peter	Other
HCM 2217	the monastery of St. Peter's, Gloucester	Other
HCM 1506	the parish church of Saint Peter at Kermerdin	Other
HCM 1169	the pasture of the bishop of Hereford	Other
HCM 1169	the pasture of the bishops two acres lay in Gaerlecroft	Other
HCM 1505	the Priory of Kedewelly	Other
HCM 2260	the province of Canterbury	Other
HCM 2996	the Roman court	Other
HCM 2096	the said church	Other
HCM 2872	the said church	Other
HCM 608	the said highway	Other
HCM 1247	the same	Nominative
HCM 3001	the same church	Given at
HCM 1751	the way called Folkestret	Other
HCM 593	the way called le Grenewey	Other
HCM 1931	Thonderlee	Given at
HCM 589	Thornbury	Nominative
HCM 3001	Thornhagh'	Nominative
HCM 758	Thornhagh'	Nominative
HCM 1622	Todeworth	Nominative
HCM 1658	Tolyscroft	Other
HCM 773	Torbervile	Nominative
HCM 383	Tornour	Nominative
HCM 1768	Trayn Mawr	Other
HCM 1523	Traynmeybon Meurik'	Other
HCM 1736	Trikingham	Nominative
HCM 773	Trilleck	Nominative
HCM 1441	Tulliam prison	Other
HCM 678	Turbeuill	Nominative
HCM 1703	Turford	Given at
HCM 1703	Turford	Nominative
HCM 1703	Turford	Other
HCM 2876	two acres of land	Other
HCM 1751	Underdoune.	Nominative
HCM 755	Upton’	Nominative
HCM 3001	Vaison	Other
HCM 1658	Valence	Nominative
HCM 1366	Vienne	Other
HCM 1367	Vienne	Nominative
HCM 1247	Vincula	Other
HCM 209	Waddeleye	Nominative
HCM 1752	Waleneye	Other
HCM 2597	Wales	Other
HCM 2598	Wales	Other
HCM 2599	Wales	Other
HCM 2600	Wales	Other
HCM 2717	Wales	Other
HCM 2721	Wales	Other
HCM 2722	Wales	Other
HCM 2723	Wales	Other
HCM 678	Waltone	Nominative
HCM 1622	Wanetyng	Nominative
HCM 2586	Warewyk	Nominative
HCM 2592	Warewyk	Nominative
HCM 608	Waye	Other
HCM 1658	weir (gurges)	Other
HCM 207	Welbeton	Nominative
HCM 773	Welintone	Nominative
HCM 1489	Welynton'	Nominative
HCM 2873	Welynton'	Nominative
HCM 174	Werham	Nominative
HCM 608	Werham	Other
HCM 609	Werham	Other
HCM 608	Werhameshelde	Other
HCM 1658	Wersefordia	Other
HCM 1065	Westminster	Other
HCM 1367	Westminster	Other
HCM 1621	Westminster	Other
HCM 1736	Westminster	Given at
HCM 1854	Westminster	Given at
HCM 1929	Westminster	Given at
HCM 1930	Westminster	Given at
HCM 2674	Westminster	Given at
HCM 2880	Westminster	Given at
HCM 1313	Weston	Nominative
HCM 1621	Weston	Nominative
HCM 1734	Weston	Nominative
HCM 1768	Weston	Nominative
HCM 209	Westyate	Other
HCM 2597	Whitteneye	Nominative
HCM 2093	Wiggemore	Nominative
HCM 3001	Wilton	Nominative
HCM 1077	Winchester	Other
HCM 1851	Winchester	Nominative
HCM 2947.G	Windsor	Given at
HCM 564	Wodefeld	Other
HCM 608	Woluarchysgreue(?)	Other
HCM 1063	Woluyuehop	Other
HCM 1441	Worcester	Nominative
HCM 1754	Worcester	Given at
HCM 1754	Worcester	Nominative
HCM 207	Wormbrugg	Nominative
HCM 209	Wormele	Nominative
HCM 680	Wormetone	Nominative
HCM 681	Wormetone	Other
HCM 1752	Wronhthale	Other
HCM 1703	Wulferton	Other
HCM 209	Wycombe	Nominative
HCM 2876	Wydemarsmore	Nominative
HCM 1974	Wydemarstrete	Other
HCM 1974	Wydemarstrete	Other
HCM 746	Wydemers	Other
HCM 1247	Wye	Other
HCM 773	Wye	Other
HCM 2593	Wygemore	Nominative
HCM 186	Wyghtfeld	Nominative
HCM 1621	Wygorn'	Nominative
HCM 1657	Wyke	Nominative
HCM 1417	Wykewane	Nominative
HCM 2096	Wykewane	Nominative
HCM 1003	Wynchecoumbe	Nominative
HCM 559	Wyndmulnehul	Other
HCM 773	Wynestone	Other
HCM 2059	Wythfeld	Nominative
HCM 2874	Wythfeld	Nominative
HCM 1264	Wythynton	Nominative
HCM 1265	Wythynton	Nominative
HCM 1281	Wythynton	Nominative
HCM 2721	Wytteney	Nominative
HCM 2722	Wytteney	Nominative
HCM 1834	Yaneworth'	Nominative
HCM 1836	Yaneworth'	Nominative
HCM 1848	Yaneworth'	Nominative
HCM 2723	Yaneworth'	Nominative
HCM 589	Yeddefen loges	Other
HCM 2096	Yeygne	Nominative
HCM 1441	York	Nominative
HCM 3001	York	Nominative
HCM 3155	York	Other
HCM 3165	York	Other
HCM 758	York	Nominative
